Metric ID,Project ID,Carbon Reduction (tons/year),Renewable Energy (MWh/year),Biodiversity Index
102d7844-37b7-49ae-bbc7-f6a826c8b791,P00092,45845,49079.0,0.74
dea71016-002e-4123-a1be-fa58c9a218b5,P00093,44258,,0.62
467b6473-38df-4676-90bf-a1f1ec8569ca,P00094,30632,57791.0,0.63
1de60410-f2da-4ca7-9f07-0d8651638b0d,P00095,40511,2209.0,0.94
b1488ca7-2ee2-459e-a8bf-2b2671905889,P00096,2761,,0.7
567858ab-26c2-4bcf-9ea4-7b192dc22ef3,P00097,21316,29616.0,0.56
0e4ec75f-e475-42aa-9ea2-26c416ef0043,P00098,10991,28426.0,0.99
2b117b18-827b-4337-a2ab-ebe1abd1660f,P00099,36548,9569.0,0.77
b7fe18a9-6a44-483d-a0d3-024247213a38,P00100,31407,,0.64
418b0bd6-1f37-4770-bf92-79a5909c1f30,P00101,30604,47856.0,0.74
ba09a083-0225-49ab-8982-90241d27a027,P00102,43046,82740.0,0.68
76216da3-3a8b-4f9e-8ad8-f52a12e7d657,P00103,40852,,0.69
5110c787-26bb-4c20-9ca0-e9cbf87ce272,P00104,22992,90790.0,0.67
e37105a1-398f-45d8-bacf-50a23b4647c2,P00105,8675,,0.96
8496d2ca-3bb1-4680-9ec7-e47f3b104092,P00106,26877,,0.52
58ff92ed-71d9-4aca-8806-2a0a06d6a95f,P00107,11845,49044.0,0.78
efa2edc2-1c55-4f33-91f3-04b1141db128,P00108,30058,,0.65
9726a13a-e428-4ab0-84a1-aed564a47752,P00109,6973,55736.0,0.84
f0a975e4-5620-4d1c-bea1-fb62a0f70d1d,P00110,18790,93865.0,0.97
69f0924f-bff0-43e7-b8b2-efe5912b94d6,P00111,23700,,0.7
90b9a0bd-69b8-40db-9639-bd75736c2e00,P00112,14391,55868.0,0.51
0dce0639-f5ad-480d-8a46-cf3b8646e845,P00113,44877,60274.0,0.58
8852bb43-f315-4c5d-8faf-04ba7a8da2b9,P00114,28027,52677.0,0.8
81b5e49c-440b-49b2-8e42-8321c4986502,P00115,49354,30341.0,0.94
9f2ce47a-8434-43ef-947b-860b071d2c9c,P00116,12744,69998.0,0.56
2f5ab8d8-7692-4d06-937a-0fdf78cd25b6,P00117,5310,59168.0,0.57
15d75ae9-4743-41c7-89b9-b21b2512aa58,P00118,46410,9543.0,0.73
b7c355fe-7d5c-40e5-8eeb-3c351f09a416,P00119,9592,15449.0,0.51
aa681026-701b-41c4-8552-8164a14ef226,P00120,11743,62845.0,0.66
5835c42e-a3f1-4311-8159-f2ce39d79cf6,P00121,47064,84731.0,0.63
d51ff162-7717-4d45-98f3-f1d50a8defca,P00122,44636,32298.0,0.65
ba4664e7-6dc3-464f-9834-f4b0caf8d35b,P00123,14811,77679.0,0.77
774cac74-0176-4e04-8262-1178dc1e1ab8,P00124,13764,32581.0,0.77
e34f660c-95d6-4792-ab2f-f26bc2b121ab,P00125,20355,25972.0,0.73
e99220f0-b5e8-4c76-8af8-f7d4d5201e64,P00126,30270,13592.0,0.89
04457ba9-150c-43f9-8a7b-140ecb578097,P00127,49997,40485.0,0.85
d72da2f9-2f9a-44fb-a3fe-85149fac1ae6,P00128,30426,,0.74
adaa9871-8f3c-44e7-9564-0f0c9b7b74fe,P00129,39534,59670.0,0.6
b67757e6-b325-46fb-af45-6fc052a1fefb,P00130,32356,52479.0,0.65
7546159c-0a92-486e-9f89-0eb3d60e58af,P00131,7411,,0.99
6b674d83-641b-4b84-a947-6b51d3b9d9f7,P00132,20541,,0.76
dbe5c7cb-bda5-470e-b3cc-1608fb8f6ca5,P00133,14528,,0.86
71866f3f-d4c6-450f-b517-a04ee9c229f1,P00134,39333,,0.54
947a0ecd-0f30-4705-8605-510b8b0f7355,P00135,34105,,0.79
6bbec737-45af-4427-b86d-d551a944a8cc,P00136,32251,81971.0,0.92
809a0b39-39c8-4572-add5-6d172c7e68f2,P00137,8350,51389.0,0.75
65aed133-6e20-451b-bbea-5a6313c67abe,P00138,37566,69353.0,0.52
40089929-3afa-4ba1-a0a0-71437773e735,P00139,14600,,0.59
5e1a94d7-3df3-4545-85fd-c8a6a779edbd,P00140,31065,72069.0,0.86
484f2007-dc0a-43aa-bf12-e189b8654f36,P00141,6036,87783.0,0.61
7e2b6ba8-cee8-46e0-8f64-e85a97866bbc,P00142,7580,75126.0,0.75
12f06011-cef6-4b5e-bc30-7d485fc7a077,P00143,5445,94184.0,0.81
66806d9a-17d7-4950-b9d9-1d747f52782b,P00144,28472,,0.81
003642cf-694e-4002-942b-f27dd60c1838,P00145,22358,,0.56
a6d914be-3011-4bdf-959b-a663ca5e56c2,P00146,22938,57433.0,0.52
fdfd20b3-17ef-4816-ab5d-cab2afc12b4c,P00147,42200,,0.58
ea14f4c9-326c-4b98-9857-7a663d93c512,P00148,7183,,0.63
ee55c6ad-0a47-4abf-bb8f-463ce9364df1,P00149,9741,99133.0,0.73
a8d05c6b-9bd9-4ce0-814d-3d71bd725fe5,P00150,11458,,0.89
00d06104-c24d-4f7d-b28e-953572d3d8e1,P00151,43311,78060.0,0.89
5e3a5900-9836-4ecc-a371-0b01341c0c69,P00152,41326,22274.0,0.65
941eb18a-eda4-4faf-bd70-6d35747d0f6a,P00153,46574,,0.61
2ac2df6d-5859-4d6c-aee0-0a809e228a59,P00154,11980,29845.0,0.91
70e33c04-1455-4041-910a-84920f2c76b5,P00155,23686,46524.0,0.94
df86f996-8b5e-42e7-bc06-dfc2df0818d7,P00156,20475,89222.0,0.68
7a0426de-726f-4db1-a166-4d315948c8e5,P00157,38097,54075.0,0.94
70559198-2afd-4cac-b8ed-9f3f4278d634,P00158,26973,69792.0,0.92
f88fb511-3c91-48cf-9787-3e886da20f59,P00159,37728,,0.51
1ed17061-c98d-4b00-aa72-58328dbc3004,P00160,37233,,0.9
a54490f5-c095-4ab8-a99d-c51e7dae3b03,P00161,1683,87118.0,0.69
0a4e6999-079f-416d-b8d6-b565b310f13e,P00162,1904,,0.98
8d6263f0-bbed-4337-8151-7116b15705e5,P00163,45364,44228.0,0.57
e04e9460-046e-4d73-9af9-9620a4a68f33,P00164,25831,,0.74
a8a61f50-bf41-4d2b-83f1-69164cad3eb5,P00165,36262,15170.0,0.69
320eef93-31bd-4590-8c0a-957c160c2bb6,P00166,44827,8169.0,0.68
b0bfa6e7-92ef-4f08-b4e4-8cbef9b745c3,P00167,21733,6482.0,0.96
4f7e28b1-ba36-4d06-b3c0-2932ac423097,P00168,11507,,0.93
d9b870be-b032-4fa7-befc-d788baee82ef,P00169,27234,32449.0,0.71
f94e7172-af6a-442b-9a09-50c32fbcd7ec,P00170,16492,60753.0,0.73
d6de1d7d-3a81-4c56-b3de-31f39d7f66cb,P00171,34493,98818.0,0.59
b7a284bc-8f22-43f3-ad12-a69d4252fa6b,P00172,15247,95670.0,0.79
704781b5-275f-4b2d-95eb-864a804dae5c,P00173,47541,,0.79
c45c9ab4-982d-4349-9ae0-eadbf6ab20a6,P00174,25373,27982.0,0.69
63775f8f-21a0-4e89-9e7f-170d3f933d8e,P00175,6368,33325.0,0.84
0192e015-da85-4195-ace3-dcdd70dd1772,P00176,23123,76541.0,0.82
502686f9-cd98-42bf-8616-725e682f450b,P00177,15202,49855.0,0.97
d081f4b8-4191-499f-8a82-b5a15b46f119,P00178,4132,42134.0,0.86
df949568-5a65-4fd9-912f-0deda1d19fc5,P00179,29206,93105.0,0.79
438ed57c-392f-4a40-8eb5-77c3e5529dd5,P00180,41627,43837.0,0.59
8b223c7f-5d47-4534-b17e-469060aaa637,P00181,13882,,0.73
fa20f974-f07d-4466-959a-86a95bdae8ca,P00182,43586,48523.0,0.74
5b218236-b37b-4833-8b29-0cb3c78a46b6,P00183,3208,,0.71
c6c456cd-d845-4c9e-8f00-5e6cc54cd290,P00184,29859,35632.0,0.7
a8440610-3f43-4370-89a3-4e794dfcf944,P00185,14603,,0.87
74ded9bc-839b-4d64-b207-89882d9b2dff,P00186,49897,81313.0,0.64
8a2ab5eb-2e24-448f-8435-4b5b0ce3cc7e,P00187,48588,16640.0,0.58
5652fd28-7d80-49a3-a6c9-f0b1957b834c,P00188,17991,92259.0,0.98
7ec759d0-0cbd-4318-8c09-f512a695d6ac,P00189,43243,20039.0,0.73
dad810af-faec-4f74-a347-6e8b96fa25e6,P00190,40249,,0.87
c475b7e5-0f6f-4533-9e32-386f4e4301a7,P00191,14531,,0.82
ab27a1d3-1ba8-4e7a-9ea0-1b5b3753dd44,P00192,30229,43530.0,0.93
3ad17860-b5a1-421f-9556-69ff2af0b483,P00193,26128,6539.0,0.86
0df87364-e397-486a-80a6-40e0accc405f,P00194,35759,91470.0,0.68
d7e88dc3-6451-48a9-adc1-dfe748282683,P00195,43268,4372.0,0.56
833bc49b-b817-497b-95b4-cc83327be711,P00196,13283,,0.62
44105f8d-d083-4402-a384-aef583ecb561,P00197,16302,8828.0,0.69
b32600ad-f20c-4849-b71c-550ebb45a4e9,P00198,27769,76211.0,0.51
4e5227ed-1ec3-4218-989a-cfc0b6595b62,P00199,18972,53343.0,0.52
147bdcec-65f0-4422-adf6-1eb31e43a404,P00200,29720,93836.0,0.66
5cb778ee-539a-4ac9-99c2-a561a814ba43,P00201,2099,,0.89
e5a0439a-bcc3-4067-b171-c9c31ed484ac,P00202,43860,,0.63
07e4e4bd-bf7a-4f00-9fb2-e2e15dd94e1f,P00203,21301,,0.69
b0ba8dcb-3ab8-429d-a561-4d0026914e95,P00204,29737,,0.63
46d5ced7-b9c3-4dbd-8f7b-fe917da789d7,P00205,27339,16974.0,0.79
a2fdaf73-42d2-4c51-b54f-8cdbcbeecb07,P00206,32288,71396.0,0.96
91c97b01-e43e-4fea-abed-62132043d3dd,P00207,47502,83520.0,0.53
42c6a325-3bf5-4f95-8e37-cb4197080613,P00208,42647,67879.0,0.61
ecee25b5-3f01-467f-84ef-5dfaa85527f9,P00209,34951,65352.0,0.88
52a50951-12bc-480e-97cf-4d10d000f281,P00210,25915,,0.52
8d154678-4ab3-4fd1-b8f7-6c8f6dc3975c,P00211,12666,,0.89
24fc91a3-50c0-4dd0-b94a-8fad64d6c1cd,P00212,46584,,0.66
f23c144a-5075-47b0-a977-a2e85f90a8be,P00213,18459,,0.95
12e0ccfe-152a-4b4d-8043-798eec060b0c,P00214,28679,,0.63
70e9890a-076f-42b4-b57c-f135ae32d5eb,P00215,30652,,0.54
33ba097e-7b25-4ebe-b422-5722f0420b73,P00216,42020,16113.0,0.61
299126c7-8b23-41f0-a313-425e33b239c3,P00217,4202,54071.0,0.64
7aed5503-5bb5-43e9-beb0-301ff4f25b55,P00218,29426,,0.62
93e14a37-f366-49d4-a296-8c0d3d76cec2,P00219,24433,63063.0,0.78
009f4b3b-cefc-457e-97ef-22ede3080be9,P00220,20431,98204.0,0.77
d9045bb9-6276-462c-b5e2-9041e79e3a62,P00221,38765,,0.6
96170351-7c98-413a-aa56-19a031195941,P00222,16161,80191.0,0.97
2b0ce185-fa04-46f1-839b-a654e727fa47,P00223,33157,11981.0,0.55
f955469f-fe83-4ba3-af5d-cb80b84ab195,P00224,26994,,0.63
995ba1c0-b41e-4d91-ae5d-357a2233815f,P00225,36334,,0.75
412dd58f-207d-49bf-8e75-0501ac19d074,P00226,8158,36715.0,0.75
db0fc2bb-baf1-4920-9f6a-d49cafee325d,P00227,4005,6051.0,0.52
d0f0fdc9-ec82-4ac9-8e07-afb9fdce63d9,P00228,18693,70403.0,0.84
2eb19827-3f0a-4103-a6b8-8a9df633cf6e,P00229,3669,47753.0,0.86
c85a8a6c-0e57-446e-b0d3-cf082f3d5c17,P00230,7938,61029.0,0.75
37ff21b0-f83d-4d04-88ea-1813ad1e62e5,P00231,9124,84598.0,0.98
6fec5127-d4d8-4eb3-8b4d-ac063d7a5d41,P00232,37544,,0.66
f1ae4bdf-a52c-43df-b9d3-52a8f867a3a4,P00233,44253,9521.0,0.56
4fb5004f-2411-44f5-85ab-37880cb7451c,P00234,30070,61605.0,0.6
d7bfa0e7-b302-4075-9b0c-2ec50b1c8149,P00235,27543,26435.0,0.58
dbb2be47-93be-43dd-beb7-b0b6af30f7e8,P00236,11243,93584.0,0.82
2f0f40bf-1a05-4f4e-92ab-2eeef9bdfa0f,P00237,27426,34860.0,0.99
1aede0b3-29b8-4d3c-bb3f-7c41a481c72a,P00238,10439,78497.0,0.52
7dc2d707-c1f1-4db4-a129-89d53a7d9036,P00239,38131,15256.0,0.61
db44042e-ec3a-4430-b5ce-bfe686ff257c,P00240,21284,,0.99
c0568ad9-f01d-49e9-8730-e1b73a32f086,P00241,1893,36486.0,0.82
aabb5d9d-fe38-4a22-8839-679108e433c5,P00242,42124,46917.0,0.88
eebc9764-f9e4-4186-98c3-6351315b9651,P00243,15773,37750.0,0.52
69633a65-12c4-46d8-991a-c72c9342645d,P00244,42431,,0.84
0cd499f3-71d3-4b16-8c97-b149f0f0d1f9,P00245,13147,,0.81
a9dce99e-ea23-4538-8b6b-4800955a90df,P00246,23282,,0.52
254766e6-d8f0-4de9-a0cc-55e2fd70364d,P00247,6334,76516.0,0.87
657c87ef-68e6-4a88-b54f-6d028d5299ad,P00248,34997,83971.0,0.68
13101d33-4475-43d6-8450-6b958d5f0863,P00249,28745,,0.75
f3e36e98-6c82-4280-9ed5-13309301e0e4,P00250,21854,80349.0,0.97
81e9a739-7486-4d81-9156-3f4e6fd94447,P00251,34803,95597.0,0.64
a2f85b0e-b281-4dc0-99c1-4ec919755c68,P00252,40419,,0.8
b27462d7-df25-46af-8a4a-81926bc09bce,P00253,40980,,0.86
6a29ab04-1174-424f-9de4-e74382d9ab3b,P00254,2206,,0.86
c38edeb5-e84e-4b56-b06e-0eb979b7f631,P00255,36576,3290.0,0.54
87cded8b-86a3-419c-a63c-2456bed5a10b,P00256,38080,34176.0,0.96
5821faff-8918-4ee7-800e-f41213c6df25,P00257,39278,22133.0,0.84
9e511977-1dec-4f5a-b90a-cfb48e8dc742,P00258,3288,,0.61
0f67d1df-a839-41f3-808f-7a96c8300124,P00259,22532,44008.0,0.88
a0aae9d6-84b3-4131-a96b-cd4392ae54ad,P00260,48416,,0.85
4efaf298-9ef8-420f-9866-3babe09a908d,P00261,24117,38292.0,0.52
1168e663-5eb8-40e9-a43d-7a27329c6b28,P00262,2759,,0.59
2b950de4-a241-4839-92c6-dceea0608bac,P00263,42119,,0.83
1055964e-a194-4cb1-870a-f14b6d6bf640,P00264,15788,85972.0,0.99
aa695f97-eff9-472c-a33f-3fa1ef9def9d,P00265,43689,55530.0,0.67
55449246-71fc-4b73-970d-5d5e65a1f657,P00266,28618,,0.77
73473d4f-3fa7-4de4-b08e-3cffbc6bdd3b,P00267,22780,6739.0,0.78
6ca8e283-8417-4287-9541-cd9f1d1d899e,P00268,28725,,0.99
aa3ae50e-b2d5-49dd-9890-56b526266f50,P00269,4888,19075.0,1.0
207b8377-8221-45c7-9f9c-24811d870b48,P00270,30409,,0.91
67709618-0ded-4cc3-97fc-984e0eb99693,P00271,11129,95770.0,0.73
e2e66bb5-9a7f-4b01-abfd-c561b5d02497,P00272,27828,32780.0,0.98
dc1489e5-b155-4fb2-967f-ea5ae220dc71,P00273,48199,76774.0,0.85
e5d5ce74-4e9a-48b4-ae05-f0c790b1ce30,P00274,39983,92696.0,0.8
bdc7dce5-af97-4feb-b00a-a877c99b60a3,P00275,44268,,0.65
da5f99bd-fa8f-4f6c-9ccc-2045da7f4ab2,P00276,15898,74986.0,0.5
d6774b9b-b77e-4054-afdd-c8092bedff13,P00277,38747,83887.0,0.72
a03c81b4-28e6-45a4-ab2d-3786988c88a1,P00278,9822,,0.68
10afbb4c-d793-4a2b-b665-0f2d0b65a35c,P00279,6166,53327.0,1.0
673f5b46-dcb2-4483-b84c-237fd8780f16,P00280,14724,,0.99
48d9a17b-a7d1-4d4b-93ce-80b61a986b69,P00281,19473,27662.0,0.79
04a476a8-e66b-48cc-850f-8e29a67c0445,P00282,12781,98960.0,0.67
35bea762-2ac3-452f-9dd5-7332fbbf0cff,P00283,37618,49685.0,0.94
e1ac7443-bdab-4fbf-befd-71781bdc1ae1,P00284,23741,98295.0,0.62
2971e6ce-2e00-47fe-9431-15ebbd3e2bcd,P00285,24541,,0.92
eb6cc97b-1615-4e1f-8261-5f0eeca61e35,P00286,32619,46912.0,0.77
e14a4864-1dd3-4ab4-a558-d511d9b5a6ea,P00287,48986,96005.0,0.8
089a9aa4-6e88-4501-b879-ac73825e8bc6,P00288,30410,,0.62
effda6ed-9151-4b8f-bdf1-bc8050696c04,P00289,9252,45650.0,0.59
590cd57d-eec3-465a-92f9-cf6f7540406c,P00290,20749,50884.0,0.88
1538f237-ee21-4e72-9fc7-95763203227d,P00291,44121,9076.0,0.91
c4d8ad12-fa49-4313-ba15-62d2158e9ce2,P00292,2912,,0.82
2b0c6d3a-428a-4a79-aabc-8626461ef1a3,P00293,43238,56988.0,0.83
fee33f8e-47bb-4886-bd30-fca53aa88eb3,P00294,33822,,0.65
eac2c105-20be-488d-a232-7d0454d71bf7,P00295,15623,21013.0,0.56
269d2821-dec3-4f28-9b78-0f0a4ebe80a7,P00296,5622,16106.0,0.62
a5d508eb-67ad-49b4-abff-39adee2ce172,P00297,23978,1670.0,0.7
70c70ec6-3564-4485-95a6-7af69dec7f19,P00298,21750,20493.0,0.65
bc9604d4-6a34-4586-a684-2a1a94b5579c,P00299,29285,,0.86
dfa1fe41-30a8-42c6-b30a-04ca50d4c8b1,P00300,33021,75140.0,0.67
32a8ddc2-9cb1-4024-a935-db2b31c9ff58,P00301,39018,,0.61
66805d3a-ffa7-49b9-8def-7feac43847d4,P00302,30532,85002.0,0.92
4338df63-94d9-45ce-bc22-ea0c6abbf07f,P00303,19472,14328.0,0.55
87a88f29-7e6a-4683-954f-7b6dc43f43d2,P00304,33266,74723.0,0.76
3f23406e-d3ab-4d17-a982-8ae469c51059,P00305,23652,,0.74
108179c4-48c5-4f24-9c32-2a73e90624fc,P00306,14818,66454.0,0.85
f45c6f08-a061-4d8e-9bdf-b131533abc61,P00307,7508,42509.0,0.89
93d9af7f-36b1-4642-96a6-b36dec6f476a,P00308,32635,,0.67
6c292cab-71cf-4f46-aad9-f70307beeddb,P00309,3667,92748.0,0.65
fa9be51c-dc50-440c-82cb-d6179f4f0321,P00310,44292,30267.0,0.71
48ca0c24-8cb3-46c9-a94a-1b85919efeee,P00311,15809,84399.0,0.62
5e0d1c7b-ef7a-40bf-adf0-566d95cb6739,P00312,25121,89495.0,0.67
3a2ca492-e315-4f68-be42-2cb6339ce356,P00313,36154,45553.0,0.95
f3fcd8f3-dbd4-4753-a705-85f50c17a4c5,P00314,34507,,0.66
8882fb7b-899e-4884-ae1e-21579fa797bf,P00315,48962,,0.86
c5d8f0e6-4f52-4107-9cba-4cfcdbf3ac25,P00316,9453,2747.0,0.81
2f37449b-0756-4a87-8491-976f9be1a5df,P00317,38740,,0.82
a182a05f-944a-463b-841a-0be7ff26c152,P00318,38000,95739.0,0.73
76019d7d-d288-4127-9157-e0fd048b1ab4,P00319,31233,48496.0,0.93
ba4780fb-e1f5-4559-8821-c154c4f9aabc,P00320,22123,67305.0,0.72
d0f75952-3d44-4859-ab78-d67235ffef7a,P00321,39703,47747.0,0.72
aa77e354-c665-432d-bcd2-0bf8d23cc3af,P00322,7444,,0.87
0df9ad0b-41b0-49e8-8cf2-27cc2a5e4663,P00323,27607,73129.0,0.58
868dafe4-7fff-4f37-859c-f1ed2ff3b02a,P00324,11907,88106.0,0.7
bab7d2cc-b777-4aa2-a33b-ed64c5ac46b3,P00325,24496,87799.0,0.57
1f8a9118-11a9-4e6d-b793-35515eefc552,P00326,47827,6018.0,0.68
c0a401b6-ef82-4256-a5fa-9bc702cf21b4,P00327,2959,88171.0,0.67
05c21256-5f0f-400d-8735-be3ccd22f5ac,P00328,22610,3868.0,0.64
70b0443c-32ee-4162-85ae-f3f43596c0b7,P00329,23927,65797.0,0.58
0fe3a12d-97b7-48f1-856c-c779c9b4a4df,P00330,47076,5878.0,0.59
71209bf7-93c4-40dd-a384-c827f8d0bb46,P00331,20246,18549.0,0.7
