Metric ID,Project ID,Jobs Created,Community Health Index,Education Opportunities
b841fa2c-c246-453b-86f3-f5279b5b060e,P00053,390,0.7,28
52bfc313-eab2-49fe-94cb-130c08aa8497,P00054,208,0.69,57
0a1eb83a-cfcd-4b06-80a1-bafff6159527,P00055,194,0.87,93
4a9bd5f8-1274-4cfb-99c5-a6e8d9756b25,P00056,489,0.93,23
0adcbe63-43fd-46e6-8c44-b3edfa82e1f4,P00057,147,0.78,96
0143301b-4995-415c-b1a8-8b5987b84629,P00058,184,0.71,87
74b925a8-9e6f-416d-8039-233899b2f99f,P00059,13,0.86,92
301959c6-04bb-464c-a340-33c23f23ab1b,P00060,171,0.81,87
e6ac0e4b-75ab-4a58-8639-f7403b743a64,P00061,26,0.77,86
a9040a8b-2004-4dad-be0c-68ce9c34ca2b,P00062,258,0.85,42
0fbd7cf3-2aed-4ea1-bd61-66c0e8f14e5d,P00063,402,0.81,98
4e71ab96-71f8-4439-b11a-fa97e947849b,P00064,59,0.71,69
4c8784c1-63cc-4cb0-b5a0-74c9c99c5e2f,P00065,467,0.85,82
717769ae-7986-47c2-9451-f113d7de25a3,P00066,61,0.7,26
37b356a7-7d15-4303-8d43-b179604a9cfc,P00067,159,0.78,49
8891f948-692d-4a2c-b915-d3c314fcbbb4,P00068,288,0.84,25
5e022a06-1a14-4e05-b246-b2a0ced91971,P00069,394,0.89,31
30692d72-a939-40cf-886c-bf36bed8def7,P00070,112,0.69,30
98a95bb9-61bc-47f0-a37d-599fbbf54191,P00071,154,0.61,62
bf5f9631-8d01-4ff8-857c-24a9f25e3cb8,P00072,194,0.89,51
191cf289-3dbd-4dd5-8399-cdc56443a5e5,P00073,337,0.94,40
32c4dca4-0eb2-4988-adfb-772960430e0e,P00074,58,0.77,48
2d92c694-28ef-4b07-bf0a-5173c73c8fce,P00075,208,0.79,96
bd6a0a8a-119a-4e14-9ab7-0fb52f3c978b,P00076,483,0.85,47
b71b0e42-a4bd-4db1-9002-b7a215abcef0,P00077,173,0.7,38
e25e6fa8-74d3-4da9-8262-3dcb45e212cb,P00078,434,0.61,71
dfe55fe5-91e4-466f-a1c1-19c3906fdd6c,P00079,222,0.88,66
51882c62-95d1-4ea1-bd9c-881773547fa1,P00080,381,0.84,69
fb5cc2f2-6a45-49e8-960b-f81c62eae97c,P00081,384,0.74,30
62710ada-33c0-4cb6-88c5-2a35f53659f6,P00082,360,0.84,31
c371fef2-5d77-40db-834c-048c4380d022,P00083,45,0.74,65
10ee9e72-3c2a-45f2-b273-54ede525e631,P00084,410,0.83,94
701d2d18-d178-4d40-98e5-e41bdb3379b1,P00085,452,0.78,97
aa8d703b-6b1d-47de-8e2f-d265a838499e,P00086,315,0.63,27
477f0051-12c2-450a-a511-486fcb829e21,P00087,469,0.78,84
e91e4ba9-ebda-4e27-8beb-54cf2a789a41,P00088,320,0.78,71
ad6b80e1-2ed8-4b57-996e-894a55ad27e9,P00089,447,0.93,12
9f25b997-0c6b-440b-ba0a-716fc1cc898f,P00090,82,0.6,52
0c220d6d-5085-4ddd-bb8e-9500e609ec30,P00091,173,0.84,58
e4cbfefe-ac38-478b-85a7-29d4341bb790,P00092,343,0.91,26
6684c793-d5e7-49cb-a5cf-6dafebcfa01e,P00093,284,0.69,65
f31115d1-9a82-4580-848c-68303404f2a2,P00094,19,0.88,51
99abefcf-ba78-4e65-b5d6-9b12f736a1ee,P00095,455,0.75,55
639c3406-0f90-47b0-a936-19ff1d2c385b,P00096,495,0.73,20
e7f77ae6-cd45-4902-b998-d4cbcf89a66d,P00097,79,0.69,62
c3349fdb-2ef5-43e3-b20b-cd73262d81ba,P00098,484,0.82,81
e48fe3c9-c15e-48c9-ab76-6c0c9e9d88c3,P00099,13,0.74,43
ab51bc5b-080b-453f-9016-715f852912db,P00100,212,0.64,51
10dbe2a7-e83f-4658-8db2-2ba6c1422454,P00101,405,0.93,32
0afbc17f-9207-44db-9c01-fbf51498c884,P00102,248,0.84,92
d405a734-40ed-43b7-8f72-82470be77749,P00103,497,0.85,42
3d23ef08-498a-4d96-9864-8cb7fa72f019,P00104,32,0.9,85
1c5c60fd-2714-4db4-a99d-35506ad730f1,P00105,66,0.84,41
545a3ef5-3614-446c-a2af-bfeceb3ba2f3,P00106,195,0.81,22
ab7ba273-23bd-4bda-9cc4-69e3e7c215cc,P00107,204,0.6,90
2eb3bab3-2c79-480a-b18a-5714a328c707,P00108,195,0.7,22
9ef3868a-8e07-4765-95d0-82f2b888bf0e,P00109,421,0.71,99
977c90f3-8f42-4d1c-8755-f66fe266faff,P00110,72,0.93,24
5403f891-49db-4c95-8f0e-28bf4f2bbb20,P00111,88,0.72,14
82afce8a-0b6a-4024-9f8e-b805856ac32c,P00112,422,0.78,43
f76db7cd-5925-401f-a781-be25e943d773,P00113,185,0.93,96
b6d4ac49-49f1-49df-9279-a1b9f8d7b9d1,P00114,459,0.73,25
061e5d1f-e991-4c98-bf60-29fe7c438e0e,P00115,119,0.74,54
7b3617c0-88a3-454f-90fc-99ccd1279d06,P00116,302,0.84,17
6392391b-48ef-42cd-9074-3fbbb1520bfe,P00117,115,0.66,65
6b67da9d-38a3-401b-8b0a-4d6a6d61dbf7,P00118,226,0.79,94
ec8fa944-dd83-4067-b61d-30e445bf591b,P00119,208,0.85,59
e23042a8-50dd-40d3-991c-f659525f33ee,P00120,287,0.72,71
4f92303a-707b-4514-845d-6524c54f1f4b,P00121,480,0.85,47
3ff1abb2-c5fe-4c1c-9211-43f4148e9f75,P00122,96,0.64,64
5f4d35f4-c604-4e67-b4f7-fd1d235ac8a5,P00123,193,0.67,23
98ae868d-4001-474b-b6f4-39612e769dcb,P00124,442,0.75,32
1a781267-c259-4f11-ac21-1b95a92c5bee,P00125,255,0.84,77
d9f3ffc4-3ab9-4a7d-a4f0-d09329d9b30f,P00126,112,0.85,44
fe7615a8-8dc4-427a-89d0-1a2415b528c5,P00127,287,0.66,43
7d068128-c741-4239-a9b7-f55d57b8db36,P00128,137,0.87,80
aa5cb871-74b4-41e2-97f7-12c4db1bece8,P00129,281,0.83,49
b28c2970-0d7a-426a-b074-7a22875941db,P00130,167,0.9,85
2dbcf6c8-0f5c-4183-b720-f5a80862a360,P00131,322,0.92,34
2f8019ef-0923-4fef-a2f4-09a30711f577,P00132,483,0.8,91
e786083b-eafa-48fc-959d-3d9e3d247d62,P00133,295,0.62,84
0d6194d6-b461-4123-a5ee-b5188b277528,P00134,434,0.64,71
b9ec2448-5f67-495d-a8af-f49c3e3572d5,P00135,442,0.92,20
8df359ea-71a3-4b61-aa71-063dfe86778d,P00136,242,0.78,89
f58d21d1-abd7-4d62-a1ab-d93863d9b924,P00137,472,0.89,33
36883e11-a27c-4979-a65f-46fee58ebdf9,P00138,24,0.94,11
df0306f8-ec3c-4668-ba4f-81745748ec6c,P00139,89,0.91,40
ef26dfef-7d38-413b-aa72-5a774f654eb4,P00140,135,0.6,99
d9647bb5-4630-4a0a-b4c9-6d34ee4f9bde,P00141,414,0.78,35
dde54b15-1b6a-4c06-8dfb-b060593ee572,P00142,254,0.78,56
b2c41e8c-ca2d-46b0-96d1-b6ef4a4b7890,P00143,367,0.84,20
8f54db78-84b6-451f-9496-27f40f1859c0,P00144,42,0.95,27
f7ab7402-5adf-409e-93e9-5f8dab5020f5,P00145,195,0.83,72
6e5a9b17-5a17-4391-b2a6-5194f485e220,P00146,329,0.87,56
28210a2f-1a2c-403b-8ead-15984c935237,P00147,84,0.75,41
f6a770c3-3e95-437b-87c3-10efb251ecf6,P00148,163,0.79,12
579e57c9-1676-4a19-8ea7-1c470746c033,P00149,129,0.62,11
d6c4dc3e-b7c4-4c70-9d83-50ac2352f6d4,P00150,463,0.78,40
b65ac98c-1858-4e45-aec4-69c3b4d883dd,P00151,298,0.6,60
6e950d7d-8ea4-403f-8a8d-5c13c1a49322,P00152,75,0.77,19
cd9935c8-e4a7-4984-a4ed-788651920fd0,P00153,94,0.83,21
413bca3e-6333-4230-a8c2-053763bcf2e4,P00154,33,0.78,25
3a12b2f9-1084-4d6d-b273-338b9130e7ba,P00155,11,0.9,26
346e9ac5-e9c3-44f7-ab3f-64040981663e,P00156,300,0.89,44
044a2d2f-4f99-46e8-bb63-18799ee0604a,P00157,482,0.78,94
107e2a97-c8f2-49f4-89ec-83a39ba208e3,P00158,149,0.72,73
91aeebae-c15c-432e-b56b-8cc4d7a82969,P00159,175,0.67,10
82f5a02b-f702-4a10-b596-d70ba70c1341,P00160,488,0.87,49
058d6c66-cd06-41a2-bebc-6fd6f7bd3c22,P00161,463,0.66,94
7693d27c-b2cf-45e2-8ab6-e0d3baa4a939,P00162,93,0.86,12
3735b00c-591b-405a-ada0-c6573916e601,P00163,243,0.86,10
04edcc00-79af-44f3-856d-b86d122ed36b,P00164,114,0.9,73
de91b187-13d3-44a7-ac3d-5527e5cdc5e6,P00165,166,0.7,97
e7b31ca7-c514-49e2-834c-6a3c538fe36e,P00166,98,0.85,23
8a7d43b9-9a29-433b-a61c-3d6ef53d0114,P00167,477,0.93,77
07fc0e41-bb49-4c81-a2d2-aec2a740c794,P00168,284,0.74,19
0c15adc3-95ac-431b-8c6c-11e4e09e4912,P00169,83,0.7,99
7426cd61-b466-4018-8049-32514dd57832,P00170,33,0.84,48
80a5e7ea-faa1-4384-aa03-e6d2f969a494,P00171,238,0.62,61
c7291637-1456-4168-a996-55b1fc3db7df,P00172,309,0.9,11
e91291da-60f7-434d-80f5-6abb3f2c605b,P00173,250,0.8,97
e78d14f7-b3e3-41d5-87b8-5c901748a7f2,P00174,410,0.9,41
487b9a5e-ef74-4bc5-8022-fb212e34e175,P00175,400,0.93,38
db805577-fe58-4f66-a9ec-ebf3865c3a67,P00176,154,0.71,43
e9ead865-5c71-4023-b9a9-56881027f23a,P00177,237,0.63,13
c129e7f5-48eb-4f25-8978-ba027b4ab387,P00178,450,0.92,11
f4bc7e69-a5e9-4d61-b00b-64c8df02c90a,P00179,289,0.75,65
7f6e3f6e-c3dd-4b34-9159-d8b57b86191e,P00180,410,0.7,15
6e9d486e-071f-40d9-ac60-95b0d41dfb18,P00181,175,0.7,58
5f27112c-6770-4291-ae40-86bfbe1800da,P00182,379,0.63,29
5592072f-533b-43e0-9e6b-325f86504cc8,P00183,26,0.94,13
7c72036d-7dd7-4f14-ab36-f4bdfec2ae18,P00184,445,0.86,51
488c1bd2-29f3-476e-94fe-28d537bd80a6,P00185,54,0.74,62
a5ab0e21-255f-4290-838a-52086064ebec,P00186,331,0.91,47
6a509dc5-27a8-4657-bbc2-7c474dc20c2d,P00187,150,0.61,40
26ac13c8-bc79-47d5-8946-fb4c74aec6d9,P00188,258,0.72,34
3b74e53c-cbad-4c6d-93aa-29625000596b,P00189,57,0.66,82
776fc4b1-d1e5-48ed-af13-9dd1d969a3d4,P00190,153,0.81,51
09fee856-7c1a-4dc2-ac1b-56028ce1ec0b,P00191,261,0.88,89
e8f78270-7788-4d06-bf57-a743dbabb810,P00192,66,0.79,22
11088c26-80a0-4f63-8162-6d753307e70c,P00193,74,0.89,33
ab3681db-1643-4413-bdd3-4d043560f115,P00194,47,0.87,24
2bd28fd8-f93c-4090-8bc2-d8fa70c1fdb7,P00195,120,0.68,23
1d1dce62-f003-40be-9b10-5424a464ef55,P00196,429,0.71,88
8b41bf3d-5c90-44a2-85f4-19743f56be2a,P00197,347,0.76,62
3e1b5471-cda4-4a4b-90de-39f9df546968,P00198,82,0.7,30
55abb067-84a1-47a4-bb3e-85497ec07133,P00199,120,0.85,59
c06dd832-cbce-4f1d-b8dd-2c4d0073d922,P00200,95,0.87,37
127fc1a4-0afd-40d4-b3d0-99dae31e8b8f,P00201,449,0.73,51
caa45d95-2b33-493a-a01a-1b564824ac37,P00202,12,0.65,82
22c701b5-2549-4c27-8688-288c47d95cc7,P00203,228,0.94,30
22568bd2-e8f7-43fc-8c86-8b55a49842f9,P00204,381,0.75,100
fbec152b-54df-49e0-ac3e-5538b67939c2,P00205,362,0.87,71
dbcc3652-5f05-4e0d-9f4c-60ee28d87c3b,P00206,11,0.74,71
0d43458a-3b5b-45a0-9dfa-e4f17b763297,P00207,42,0.85,70
bbf47c3d-4c16-48bd-b07d-32231eec14cd,P00208,487,0.82,64
3051fb28-4cef-4966-a42e-99a4228f27b6,P00209,106,0.62,99
8a377c17-875d-488a-a466-ea9ede9dd816,P00210,494,0.69,92
40737206-7af7-4892-9dd9-460311ad2f7e,P00211,92,0.89,93
f091dee5-b508-488c-9d67-0910f9331f3b,P00212,480,0.83,60
c91352f0-e235-483a-b2e4-fb746fd65387,P00213,384,0.6,23
32b2f1b1-41cf-4f8f-a2ad-9deb9c30731a,P00214,416,0.86,53
04581b93-d8bd-45db-8efb-67a0d2705963,P00215,438,0.64,50
1e8fc845-1b15-497a-b034-9f8983985fe9,P00216,262,0.68,21
13e9e218-94ba-4cad-aad7-9b57d778a32d,P00217,58,0.84,16
a17a947d-0648-4275-bc41-dcae0ddae4c2,P00218,399,0.65,80
f7ed4e3e-a595-43a5-8cfd-6aab14173ee9,P00219,99,0.77,78
14e2e750-283a-4dde-8d52-53e7bdb7609e,P00220,103,0.93,44
9fafd417-5c14-40fd-8683-1fe500f9c1d1,P00221,244,0.73,48
9a0e12df-de92-4de8-a585-a0940a751e36,P00222,16,0.61,94
972733e4-20f6-403b-b7e8-2964e2004872,P00223,405,0.91,78
e4d8ae10-9b85-4ca7-819c-646bbc0fb00d,P00224,185,0.63,92
d1db8783-7faa-4cc8-87b6-fdb2bd71a716,P00225,437,0.62,28
39caf209-fb88-44a0-9f44-550b54add838,P00226,23,0.85,82
9e2daf6d-4928-4dd9-9a5e-134efd09197b,P00227,174,0.87,34
ccd8b191-a8f9-4174-8636-794a8737f6d8,P00228,276,0.76,87
35ff80d0-0d97-4af8-a32f-8daae855bfe4,P00229,375,0.91,52
419ea1cc-2914-4b50-83a3-ca5ef75ab927,P00230,217,0.83,91
421d42d2-f631-4ff0-9362-8fb82e7633da,P00231,81,0.67,65
9c923e0c-087e-4983-8bf7-80e15bcb38f8,P00232,65,0.6,98
38dd26f5-67df-4ec7-b22b-746c6a008e97,P00233,391,0.8,46
01cda3ae-fc88-4710-af15-8a270a7dbc0c,P00234,360,0.6,35
5c4b53c6-2e14-4221-8a8e-7ad8ab5de90d,P00235,278,0.64,80
e2cab5dc-a66f-4d57-9033-ef245e7ce71a,P00236,180,0.7,84
1f8e3bca-bc3d-448b-af5d-ae23725fdec5,P00237,207,0.63,60
d3a9e036-202a-4f92-b21e-6b31a9738d91,P00238,61,0.73,47
05a0eebc-7947-43bf-b0a6-32b995c824df,P00239,489,0.74,54
f4c8d121-42fa-441d-bd51-eeae0bbadd50,P00240,297,0.77,38
d1cfea41-a382-4e72-a160-9dc97f6ca43b,P00241,146,0.87,14
7dcaa6de-6d30-4db2-a596-e113edbfda18,P00242,177,0.75,64
5f2b9c55-4727-494b-882a-b961d6bdd47d,P00243,324,0.9,99
0a315cbe-b8aa-4cf8-97d1-6997f2308c16,P00244,43,0.86,26
c80f2475-eb27-4999-b9bf-c9c4be2aa88c,P00245,454,0.63,98
0461aa69-39d7-428d-b996-a6aef7adc2d4,P00246,203,0.84,25
089db0c1-5183-44ac-9d5f-91d9d0ac03f9,P00247,249,0.9,17
491c608d-5299-4046-b959-d2c3c946bbbe,P00248,371,0.85,91
96fffc33-228c-4990-b834-0f6fd42d53d5,P00249,132,0.86,96
95aa2938-e730-41bf-be05-127ee5e5743c,P00250,398,0.87,30
1cbfab9b-0e5a-462b-a465-f127f764379a,P00251,455,0.62,57
fb76b793-3cb2-4e6d-ab13-891f547b92b7,P00252,289,0.7,45
d7190162-a1f9-4b55-824e-455aa87e1c0a,P00253,423,0.91,55
3d819429-b609-40ac-a6fb-7c266bcd34a1,P00254,121,0.93,32
10cd833b-4614-468a-bf22-5f7083da2c57,P00255,233,0.85,84
8063e250-b08d-4acd-96e2-f6a9dd69fdb5,P00256,13,0.7,55
ff0cf459-8a6d-43d4-8667-da89dee71694,P00257,32,0.65,70
14bd9ad2-cd1c-484f-8f0f-bcd2c1bac949,P00258,292,0.76,32
36ba54eb-ad7d-4e65-be90-14098592e345,P00259,190,0.93,86
fb8302bc-463b-4574-85f6-307a0bf50a04,P00260,362,0.74,99
a51c6d97-0b5b-42e2-8d5e-59465114df7b,P00261,252,0.75,87
05beb739-a8a5-4831-bd52-4cd66d353085,P00262,498,0.84,81
c6f02d01-3386-42fb-9e2e-f486dcb34424,P00263,293,0.64,93
c476b94d-26e9-4450-98c7-c82bb8f6ea95,P00264,150,0.6,27
6589236a-fc19-4861-8562-99ec9b451b1d,P00265,62,0.78,24
7ffe0aaf-2b87-4975-b195-ee57ab795bdb,P00266,184,0.65,61
c3dbafae-7357-484a-9b5d-018e22a7e300,P00267,342,0.7,87
76776b51-cafd-4457-b24d-809986348c13,P00268,273,0.72,28
6eee815d-da34-433e-8b73-aec912a46623,P00269,138,0.86,79
186c3ecb-df69-4796-a9d5-20f9c3fe7138,P00270,487,0.66,76
acc9ac8a-5ce8-49a4-a8fe-6a8e7bfa7436,P00271,165,0.78,13
80803a97-d2a1-43e4-bc9f-c28e0f07dcdb,P00272,453,0.68,41
54ef23e3-22cb-447c-bea4-0e339da06101,P00273,36,0.68,24
12d20b36-1189-4cc1-ac31-308e0fd60b73,P00274,210,0.86,81
e52d6173-5ee8-4364-aa34-08cdce889567,P00275,256,0.85,28
55a41aa0-9e7c-470a-9625-f3a25fa9192d,P00276,240,0.86,63
e69258e1-e104-4e98-919c-6c8eea07c878,P00277,390,0.73,86
8c4c315f-7791-4fbe-b389-509392b09d29,P00278,115,0.76,62
d6c86854-2f1b-47bb-9e9a-80d605aabb00,P00279,271,0.69,79
90881ebb-c0a0-4dda-b216-1ace5cd6a9f5,P00280,362,0.78,100
115c4f69-459f-4af8-8c56-c1d5cefab6f3,P00281,230,0.75,14
5f3bc679-e68a-412d-9750-b411592b14d7,P00282,447,0.73,21
a4738540-9d80-4597-bd0c-c5acd6e7bc35,P00283,224,0.62,44
9ae02ccf-3370-41fb-8051-b02ad18c7539,P00284,401,0.95,18
93ff924b-539a-4c44-aa02-57288c4a10e5,P00285,116,0.64,48
58070fed-97fd-4a59-be19-633eba55233e,P00286,333,0.83,74
0ae0a961-69e4-4264-b1bb-d82ae87882b0,P00287,160,0.85,22
55405562-df5c-4da5-bcc7-a69093b10f8c,P00288,220,0.8,99
4000abc1-8ec8-465b-930e-4844d9949599,P00289,205,0.83,14
64130066-49ea-41e8-be88-13f55493e523,P00290,112,0.76,19
7cb8a5a9-3a34-4635-9779-02976a408d73,P00291,94,0.68,24
e0addebc-6dbe-4220-8578-da07d87a0f16,P00292,109,0.67,97
d9ca8fea-0f99-487c-9c5d-80898f732f72,P00293,166,0.7,62
80cee02a-2f25-43ed-bf79-f1ee4b39d4ee,P00294,176,0.65,95
f193974f-8e24-41c9-aa77-d1affe68a22e,P00295,136,0.77,98
534bce60-06a3-4164-a231-5c47744e44e7,P00296,338,0.71,36
847b5933-752f-45ee-b8ae-cce95e468456,P00297,474,0.78,73
e5caeee9-3d85-4bf7-9c25-2b07fc947158,P00298,147,0.69,36
02840af7-107e-45ce-a75b-193d9cc55c6d,P00299,201,0.67,86
b91cb970-3929-4476-8db5-b627c529d7b8,P00300,404,0.61,83
6c0b530c-ece3-42b3-8c8e-42a778bc695f,P00301,360,0.65,28
089f5218-732a-4ecb-98a9-bc0dd1b82837,P00302,30,0.8,60
9ddc6053-81f0-4ca3-9c0d-49633c09e40b,P00303,62,0.71,10
73cc6755-d01a-4c8d-b32d-8cc19f5fd07c,P00304,175,0.8,41
b02870b2-bf9c-4489-906e-0b9004a0ed0d,P00305,265,0.94,30
36d5a1dc-5d8e-4ea1-8019-36dbd44c4d6d,P00306,152,0.71,29
29b8abaf-9cb1-4ec7-bef0-53abe687640b,P00307,468,0.83,36
37dda7be-0a23-4e2c-99ac-065fc747f6dd,P00308,331,0.73,20
7892c086-e86d-4b33-9d84-00d476dd9bec,P00309,223,0.71,71
52d6f3b8-96c9-4821-9238-271b49fe6399,P00310,345,0.69,63
cb55966c-f9f2-43b3-b82a-8a0dae151168,P00311,269,0.76,30
1ea2e00d-2d25-4776-aad9-872bdcd62bab,P00312,333,0.65,44
c192faf7-f373-4003-a548-2d2404b0cbc3,P00313,419,0.92,60
074aadd2-4335-43ae-96ee-4ef1f4913878,P00314,277,0.88,34
38edae31-a640-41de-9734-f38261dbb472,P00315,177,0.93,30
fd293fb0-dce4-4852-ad00-babdd19cbbc0,P00316,42,0.83,93
931cc55c-3f6c-4d5b-bcdf-0506de0507ee,P00317,129,0.63,60
b81a3348-a51d-47e7-9cf1-24d2ad83f0c1,P00318,157,0.92,47
e01c2be9-a897-4afc-9737-f12276a4b2de,P00319,463,0.81,86
82c1eba1-4695-4103-b00a-fa8adcbb9df9,P00320,394,0.61,62
42d9e36d-71dc-4119-9028-f181be645386,P00321,211,0.7,59
df4bbb15-1c7b-4e83-b3fb-568da6a9efdf,P00322,261,0.84,13
68e1979e-0761-422a-9b71-3d77dbed363e,P00323,253,0.77,82
c78e1222-0484-4e41-a3ee-701224b051a7,P00324,354,0.86,15
0278a4bd-95c8-4040-9c16-91ed5ef9c48a,P00325,378,0.72,72
474849a7-8f29-45f3-8f53-0d7ea333cf51,P00326,472,0.89,74
d60656c8-4167-47f2-8b25-d9bd821c8218,P00327,95,0.7,87
c919db3b-7ea1-40b3-9568-ee64a27f2d2b,P00328,425,0.8,94
1f0102d5-e9c2-408d-ad4b-f8c1ae3dadff,P00329,65,0.88,81
2369f729-4c10-4ab8-ad66-52310313e540,P00330,439,0.89,24
eed840b6-bbed-4ad3-8c8b-821e8aa0c7a9,P00331,486,0.8,75
30ee83b0-1a9c-4a2b-a84a-1da078cc747c,P00332,124,0.94,56
dea3572a-55dd-45b9-86f8-393571c9c728,P00333,349,0.76,71
3505d875-5829-4a24-bfec-33533bca9743,P00334,482,0.61,28
2e116e31-f8c1-4c7a-b6e3-306910a69ea6,P00335,288,0.61,84
fd7561d9-843b-4ee2-93d2-0a4caa2de4f1,P00336,140,0.86,94
76224ba7-f013-4e3d-ab00-cd5b370540b5,P00337,437,0.86,60
5d1d3f2b-3a11-4fea-9af1-db42eb9ad9dd,P00338,459,0.91,42
3a1128ab-d74c-4de7-8801-2ddec8ca376a,P00339,370,0.95,48
7fb529f2-0111-41a9-b425-f03b629f8d02,P00340,477,0.77,36
c7a22730-da78-4b1d-a4f6-7f52136a3734,P00341,432,0.66,71
30855b38-4b6d-4ee5-8902-33a81a7fbaaa,P00342,373,0.82,92
89712bbf-51d7-43a3-98a0-2c88b77f2031,P00343,126,0.92,22
ff25b592-20c3-4631-8eee-a90ef13d1a82,P00344,478,0.65,92
19979355-8f93-494f-9127-fe327f8a0db5,P00345,18,0.86,68
e0e36931-fa21-409b-bf81-8a948c6ae93e,P00346,151,0.79,62
ef754c52-4a2d-4665-a8fd-03f170ff78c5,P00347,219,0.9,88
b6aeb3a3-3042-44e7-9dc3-36888ebaaf1d,P00348,429,0.61,29
3b7ce94a-60b4-41e5-8bf5-69c8f7026f6c,P00349,263,0.89,63
fa048ef2-d13a-458a-9077-da0f2661937d,P00350,249,0.73,57
5e2a1e0c-16a3-4607-845d-c11ea67954d6,P00351,444,0.68,43
112a4ef9-d0ae-4557-833e-ba798df811dc,P00352,82,0.87,99
c2b032ec-8b2e-4c6f-93cb-2ae6ebdaff8a,P00353,423,0.67,97
ada51074-d7dd-4fc1-b139-6cc54d609243,P00354,464,0.71,70
0547537e-73fc-4157-9b69-6ec305993615,P00355,387,0.7,89
