Metric ID,Project ID,Compliance Score,Transparency Score,Governance Rating
0a0ec64d-a109-457f-9060-c91d45dca53d,P00051,0.93,0.85,A
bbefeb72-1dfe-4622-806a-9e74f68ae474,P00052,0.77,0.83,A+
7a227a06-8ef2-4b76-8a59-8985df0efc4b,P00053,0.84,0.8,A
a48d66d6-403d-499d-88f8-b7b2aee47ce8,P00054,0.79,0.86,A+
e830a45e-4566-42de-8cc5-73203e263e60,P00055,0.84,0.7,A+
df564d9f-c14b-475f-b743-3186f3ae9f6d,P00056,0.89,0.92,B+
34498341-a7cd-42ee-ab1b-a6584666fa4b,P00057,0.8,0.92,A
a3f63baf-3079-4c8c-baeb-3454a6204773,P00058,0.94,0.83,A+
b722ee5b-8dcb-4910-b9ad-2ca11c0a6cf7,P00059,0.75,0.87,A
05229447-f10b-4d74-8e9d-32654b006a20,P00060,0.85,0.73,B+
cb3571ac-64a8-48b4-831b-551ce5545b79,P00061,0.78,0.89,A+
c3af2d07-5eb5-4670-91aa-380247fcf9eb,P00062,0.87,0.71,A
35ab5f14-f221-4da3-bdf9-ffd955250a79,P00063,0.76,0.72,B+
13bf95b8-6705-48fb-83d5-409264b55ca0,P00064,0.89,0.82,C
9db2806e-c968-48fb-9bd0-c7878b7b1306,P00065,0.9,0.75,A
fc9bd616-a32e-4c99-b124-993ed0c8dbaf,P00066,0.79,0.94,C
eb3b4d2e-de65-4151-8c1d-eae37ea5dfc1,P00067,0.79,0.93,A+
730e33eb-e3f7-48c0-9512-ab5b8acfc629,P00068,0.88,0.93,A
d46e5d45-8367-42d7-bd21-245859ea4d2d,P00069,0.78,0.89,B+
c3bc40e4-6f39-4d35-874d-8781b65a5425,P00070,0.93,0.8,A
d9bd867a-4728-49c3-8e7a-92e23cbe592f,P00071,0.92,0.8,C
0c59d2ae-8a3f-4f8a-a162-679f8579edfd,P00072,0.94,0.75,A
5d5ab479-c4d4-4d1c-806c-7b91ac59e0c6,P00073,0.81,0.76,C
4531453f-9de1-4ada-a798-25501e8d0669,P00074,0.84,0.81,A+
c101845b-b820-4af8-afa0-72b960272326,P00075,0.75,0.73,A
138b4aa9-47b8-44d1-8396-ae50d8c3ea61,P00076,0.79,0.86,B+
000d8439-b69b-4bea-9aaa-0613922cd9a6,P00077,0.75,0.87,B
b4ba9604-9c9b-44c1-9275-0f561b73e49c,P00078,0.9,0.87,B
435d7eac-1ca9-4f33-80b6-0804940a6bff,P00079,0.83,0.81,B
9a186dd5-2335-49bf-8898-889cea9b5e5b,P00080,0.92,0.84,A+
f71d9eae-209c-443e-bcb8-9e5f0759f242,P00081,0.91,0.87,C
d7eeb3f2-c1b1-4b71-8f19-e1d7c2bc9090,P00082,0.72,0.78,A
28014d64-49d4-4e98-ae8e-c51dabeb6de6,P00083,0.74,0.77,A
647e0e7d-4951-44da-bda6-e5cd4f6ba857,P00084,0.84,0.94,C
d320e02f-cab2-40d7-a357-7f5f6591cb5e,P00085,0.71,0.91,B
2d243109-e022-4894-9745-d7de6a6dc38b,P00086,0.76,0.74,B
24f4f5b2-e05c-41e3-a43d-399dae32b171,P00087,0.88,0.83,A
9441888e-7460-4197-9639-b0477cef485b,P00088,0.81,0.86,A+
923c10e1-5edd-49da-9970-e2c56c09550f,P00089,0.91,0.75,B
66416e2a-e7e4-43ac-b0a8-5bd54b6c3564,P00090,0.88,0.8,B
55faeb25-ca85-44ff-bbc2-797cafc0bfea,P00091,0.92,0.71,B
963a482a-33cc-4dfd-97d2-d6aaf18fd5e7,P00092,0.73,0.81,B+
21b41359-c497-450b-909f-1e9ffa1345b7,P00093,0.82,0.76,B
e017eac2-33b1-45f4-9fca-7640414e0e6d,P00094,0.93,0.75,C
36481fb1-767a-4509-b4d9-ae1df11091c7,P00095,0.74,0.85,A
24fea797-782d-4c91-8cac-5a1091589354,P00096,0.83,0.85,A
fe6b7d8a-159c-4ec8-890c-635fb6716f6b,P00097,0.78,0.85,A+
a606d51d-37c5-469b-8f24-f10ef50efe35,P00098,0.92,0.74,B+
89df6bcc-f62e-4073-9860-d097beb5a60f,P00099,0.71,0.86,B
d8ba5981-b41e-48bb-8bc5-9392ddc8c21e,P00100,0.78,0.7,B
bbb27c33-10bb-487b-aa3b-1f322951cea6,P00101,0.87,0.71,A
7f4aa960-bc71-48bf-82c0-d52a76230965,P00102,0.76,0.74,C
1505ac10-0cf7-44ff-92d3-d7876b2cec0d,P00103,0.79,0.92,B+
d62ca7e3-1c50-4c44-8199-fa92c7c8c6ac,P00104,0.91,0.84,C
1d88e9bd-5832-4c72-b8ff-217f88552f4c,P00105,0.79,0.93,C
591b4553-0877-4080-98ac-2daab45190d9,P00106,0.78,0.72,A+
29f75ac2-5cc4-439b-8e24-5996fbca454a,P00107,0.93,0.71,B+
b94c291c-d26d-4f99-9744-9248fb4a6d7c,P00108,0.74,0.81,B
fc7097b8-9ce7-4d77-a16a-95333c43d825,P00109,0.72,0.9,A+
704ce5b1-4049-46bb-89c7-f811d833598c,P00110,0.7,0.87,A
23ceca7c-d879-4aee-95d2-d7043a316268,P00111,0.88,0.71,B+
56d29671-839a-4132-8bda-2d280cb1e0ee,P00112,0.89,0.85,C
e5187e4c-7277-438c-b0b1-b5dae7ae8fe1,P00113,0.95,0.72,A
28cbb79a-8327-447a-9668-a609a739d18a,P00114,0.87,0.88,A
1166bd48-9b35-4031-84c9-bf088461d81b,P00115,0.71,0.91,A
fb6fe3cc-9ada-48a8-931f-4d632a072b25,P00116,0.75,0.79,A+
ba752886-f4bd-4b03-9c2a-6b5f817b7190,P00117,0.82,0.93,B
a8612446-8c9c-4d5e-bf44-b7f25013cf82,P00118,0.73,0.89,A+
ab01cbc3-7522-495f-87d9-0ce57e3a8715,P00119,0.77,0.75,B+
61e34c3b-0325-4067-b9ea-b7a21567ee66,P00120,0.84,0.92,B
94dd27a9-68b4-4a04-af40-371e1aa06106,P00121,0.78,0.93,B+
a85cb5cc-2928-438f-8b7b-4d65d8144900,P00122,0.72,0.84,A
efa846be-df55-44b0-96b0-8ce8c02995e5,P00123,0.92,0.95,B+
ce53c04f-5463-4290-92be-982992927430,P00124,0.92,0.83,C
b8e216b0-2ced-4275-82fd-33edfdc94b06,P00125,0.75,0.76,B
b05568e0-7789-4a82-aef6-f57e2bcc100c,P00126,0.88,0.88,B
f9110a61-1b80-4c96-9ec5-173b274490b8,P00127,0.74,0.86,B
6035154f-8970-47c7-a2d4-bf02fdb23e76,P00128,0.86,0.73,B
97f2d25f-c242-4085-b24b-7773017ed0ec,P00129,0.76,0.93,C
69e45343-ca32-4ffc-be93-d5c8856e793d,P00130,0.83,0.83,B+
2e780c84-ec00-45e5-9ed7-e8efb25d479f,P00131,0.79,0.72,C
ed676a75-e8f6-4b28-bb97-19c6caca4558,P00132,0.86,0.81,A+
116dd150-17ee-4c00-931d-6a295c8a952a,P00133,0.71,0.76,C
96082c12-f53f-47a3-8264-a89aee1f8cef,P00134,0.92,0.82,C
d3d20437-9992-46f2-a26a-2f127ffd40b5,P00135,0.81,0.92,C
3106a7f7-afdd-41bb-8ee4-3c58b4918888,P00136,0.89,0.92,C
2f914de2-42d6-490e-962b-2c25d2487404,P00137,0.81,0.71,A
7cf0838e-9a55-4528-a77e-811e70beb5e9,P00138,0.88,0.73,A+
1037e8e6-6c3b-4d10-99ae-283e853e7d7f,P00139,0.73,0.75,B+
e001f583-8db2-43c1-8889-252342573119,P00140,0.89,0.83,A+
05dfe023-e656-47cb-b9bc-d698875586de,P00141,0.82,0.79,B
ad6b0a1a-872a-48b0-9260-2513aacf8ac7,P00142,0.83,0.72,A+
e0049073-314c-4f94-8bd9-b5ebfc7abdd4,P00143,0.8,0.76,C
c42d1d01-9522-431b-afb3-4f5b0eed17b1,P00144,0.83,0.93,B+
a7a4f4cd-4769-490f-8475-8b1cc3e1b2a1,P00145,0.88,0.8,A
1f031e8b-ddb6-4bee-a252-e4ca71e1d120,P00146,0.93,0.82,A
b43faeb1-c0a4-4bb6-b4a5-3c80f36eb319,P00147,0.89,0.78,B+
3f0f29de-0aa1-4c0b-8ca3-37087735a5bf,P00148,0.8,0.78,A
06262dbe-7207-4fb7-a40c-216249ec17fe,P00149,0.82,0.71,C
5acb39cf-9f05-436a-a88b-da57e8b25ba8,P00150,0.76,0.77,B+
c25b24fc-1e2b-4372-b72f-e17148ce57ef,P00151,0.85,0.73,B+
724c4933-412f-472f-8588-f25c1eabb3f8,P00152,0.76,0.76,A+
954690d5-5a27-483c-91cb-7e04aa2f8b17,P00153,0.78,0.83,A+
df291cac-2ab8-44f5-82f4-fb0c664d1dc6,P00154,0.9,0.92,A+
c217f635-7f01-495b-b9e1-22d6fd3c32a4,P00155,0.92,0.88,B
07059bf4-443d-42cf-86bb-e339dcf655ed,P00156,0.77,0.85,A+
c22156c4-b67e-446a-841a-ff3decc16033,P00157,0.73,0.95,C
f550ebc0-7781-46d9-b390-c26418f91255,P00158,0.8,0.86,A+
46ff3cb6-3cb4-449a-999f-15c5fab87802,P00159,0.85,0.77,A+
093de357-d7b7-43fb-8f46-6ece13e2fb70,P00160,0.91,0.73,C
f92ef077-a4c9-4457-9e1a-30360089c590,P00161,0.82,0.86,C
e9cc8af6-7ce6-4121-b17a-33a63d47fc0e,P00162,0.92,0.84,B
f784b2d2-f378-4741-97ed-5243bdca6824,P00163,0.7,0.93,B+
c0714fcc-a05d-4a97-a3fe-f54dbe90827f,P00164,0.87,0.74,B
f042739f-8e21-4492-a8f7-c9b7c657e854,P00165,0.87,0.93,A+
e710d350-e45a-43bb-802f-9535ebcad7d2,P00166,0.77,0.81,C
9170c8f7-a8b7-4a01-9b51-61db709f485c,P00167,0.7,0.91,B
9f1e4d3d-a76c-46d9-b094-118e72a7e94c,P00168,0.91,0.86,A+
e845ec7e-6d42-4f86-bd0b-f0e7d34cd113,P00169,0.71,0.75,A
2675f28e-d98b-4c3b-9455-6d53852f2cd8,P00170,0.83,0.75,C
70ba74bd-f9bf-44ef-a7cd-ab7229014416,P00171,0.71,0.86,B
7ce083c5-01b4-4c0e-9b3e-a66c1a133084,P00172,0.94,0.93,C
0ca9e927-4b3a-47fd-bf21-72282ef61552,P00173,0.78,0.76,B+
9866b00c-cbda-457d-b0b9-0ebd132bf3c8,P00174,0.91,0.75,C
f7bc7ac5-bc60-4b7f-ac77-7ed3112bcecd,P00175,0.72,0.78,B+
37c30981-d23b-47ae-9c97-c9b12170a629,P00176,0.87,0.77,A+
89616eab-62d1-445d-95d0-2c2871e06a79,P00177,0.92,0.8,B+
f0055c4b-8e51-423a-bf4c-8c545f38545d,P00178,0.9,0.84,C
f05baec2-4202-4e48-b5e7-7e6bb77243d0,P00179,0.75,0.88,A
9483d405-8e1c-4322-a2cc-0e34cb0d71ce,P00180,0.86,0.92,B
24faf57e-ba01-4079-b6f6-1093ef329fdd,P00181,0.81,0.95,B+
03fdff82-3b00-472c-9be5-4a325fe292a4,P00182,0.87,0.74,B
a6737e2e-20cf-48dd-a8b3-188c3d42294f,P00183,0.84,0.78,C
f4244a06-e89b-40c2-897c-84b9906244c4,P00184,0.95,0.78,A
b0a70feb-dc22-440d-84c7-fd9755194fe7,P00185,0.71,0.78,B+
4eb2b02d-8526-4aca-8876-14a9a0916d22,P00186,0.71,0.82,A+
c82c2636-48f3-4924-b57b-cef747cc1af8,P00187,0.76,0.79,A+
0544798d-a77e-490d-92b9-bf1fea3195e0,P00188,0.72,0.91,A+
082f9ca0-50ee-46b6-81eb-5781e9e96ffb,P00189,0.94,0.85,B+
a816cea8-d74e-4fcb-aff2-9f937c082810,P00190,0.84,0.81,A
13c076c8-6abb-41de-95bb-fe95681932e3,P00191,0.78,0.93,A
3c834fe1-8b8a-4997-ab2e-39c5e48ac81e,P00192,0.86,0.91,B
dfc7155f-2eff-4307-83fb-907ee80df6a9,P00193,0.9,0.85,B+
5a499dbb-d572-41c8-bfb5-3819f50a8868,P00194,0.93,0.89,B+
3b27c86b-3373-4fe5-a406-482618fdaea1,P00195,0.91,0.77,C
0104609c-b3a1-41bc-9167-b7f0bd19eede,P00196,0.86,0.72,A
24e68906-909e-41c2-9c0a-4e11daa298b1,P00197,0.79,0.82,C
576e5764-775e-4b82-87f9-af1aa41c0829,P00198,0.9,0.83,B
9faec63b-265d-4c97-8212-56f9c1106e8b,P00199,0.92,0.82,A+
3d73e7f8-8c26-44b0-a365-994a6cf39f07,P00200,0.78,0.88,C
47828226-8dcf-4133-9d36-1014ede52a44,P00201,0.94,0.83,A
72b616e3-c12b-439d-9ed2-612b208f6800,P00202,0.83,0.72,A
bc6586dc-caf2-48e0-a5e4-e0e1350748e4,P00203,0.84,0.8,B
0d7f8a9e-079d-432d-9028-ae4beb2c5162,P00204,0.74,0.93,C
08ffd85b-cb45-4401-be94-b6394382effc,P00205,0.84,0.83,B
dff4c364-5989-42e0-bb97-227fcda50ff3,P00206,0.71,0.87,A
1231e006-ecf7-418b-ad47-f8919096d755,P00207,0.85,0.94,C
70a6ded9-14cb-43d3-bb63-d13dfa8ff9a3,P00208,0.92,0.92,C
71fec193-1a1a-4ac7-9fd7-142b94d3e75b,P00209,0.85,0.71,B+
201a4f03-fd63-4d01-b271-655e6ead0cf3,P00210,0.76,0.85,C
06c465f5-d874-4a96-8d77-e88381c80328,P00211,0.8,0.85,A
10c5837e-2d42-4b6b-8468-ccf5a685f5ba,P00212,0.94,0.92,A
308641fd-6b16-4fb2-bdb9-2418519fb136,P00213,0.88,0.88,C
19ee91bd-4b55-46de-bb43-abc80fa66195,P00214,0.84,0.89,A
b2645651-c989-470f-9c50-40dc6a6c044b,P00215,0.82,0.94,A
1e94ab32-1e9a-4859-968e-fe914b134de9,P00216,0.87,0.92,A+
203d071e-fbc5-43ca-ad57-f2ab06e54ed6,P00217,0.85,0.7,B
43f0cfff-1d52-4677-b208-6289a70f0a89,P00218,0.83,0.73,B+
6ef33b24-7945-4401-9386-c09028abcd5b,P00219,0.86,0.93,B+
60ce7311-4aeb-4aa5-ad54-86b307a92973,P00220,0.71,0.78,A+
5d2a7f63-6bad-4b44-aac0-1cbd86e8b6c0,P00221,0.79,0.75,B
1b1ea81a-abda-49bb-b888-6a5587eb255f,P00222,0.74,0.95,A+
fcfab24e-2eda-4b2f-9df0-0cb2b41c94bd,P00223,0.83,0.83,C
0542b89c-dd64-4ce4-b261-5bc34973d908,P00224,0.85,0.74,A+
f01c56b6-ab43-4adf-bd50-58616ebc62dd,P00225,0.74,0.78,C
995883e1-7953-4540-a1fd-04d6b967b617,P00226,0.89,0.95,B+
5eb16dea-6ec9-4c21-8dc0-3cfe5d96126a,P00227,0.83,0.72,B+
df7d9ead-ea3f-47e2-81fc-9c81a464d65c,P00228,0.92,0.77,A
c553b41c-9e0c-4a06-a885-13025ab4c7eb,P00229,0.77,0.92,B
893eb61a-53de-4f42-87f2-eb102cdf8506,P00230,0.82,0.94,A+
4cd4aa7c-0b1c-47f9-a7a9-569a5610bc71,P00231,0.88,0.9,B
3d5cad05-aebc-466d-84bc-07ebf368c5c4,P00232,0.91,0.74,C
08d6a057-0f74-4676-a38c-3ef4bcf4343f,P00233,0.89,0.92,B
ada7371a-448d-4a35-853f-a59e26f8f32f,P00234,0.8,0.79,B
2135afdf-ae92-4b24-8d41-d65456aa0845,P00235,0.81,0.71,A+
dab7667f-fc43-4ecb-b0f7-169d6a2b05a4,P00236,0.75,0.89,A
c3a526c6-bd91-4102-903b-5d3f0e699ee2,P00237,0.71,0.93,A
9e3b17b8-5e9a-4009-a944-b0fe96b645e5,P00238,0.72,0.95,C
23d88d07-fefe-4932-8997-717d3c4379d1,P00239,0.91,0.74,B
1c96e932-03eb-4e1c-8230-e6e5344c4517,P00240,0.74,0.86,B
bc4dd812-712c-4c06-9db9-4ba20e0406d8,P00241,0.92,0.74,A
dd69bbdd-bbb7-4062-b316-27b33dacd6f1,P00242,0.76,0.88,B+
7807480e-054e-49b4-9d61-20854358392c,P00243,0.86,0.94,B
9efa8cf0-b62c-495c-876d-52d39217202a,P00244,0.93,0.94,B+
3fad5c24-f138-4f6c-9abf-06b61f324488,P00245,0.75,0.77,B+
2cdcb1fa-1719-4d94-96eb-967e78602b4d,P00246,0.72,0.75,C
7b513e5b-51ca-4a1c-8676-c639c3260236,P00247,0.94,0.9,A
dc61bd48-9f29-4444-8bbb-33ddb943692b,P00248,0.72,0.89,A
b26d77c2-3999-4c63-b899-c2bc9999f582,P00249,0.86,0.87,C
f81ab3d2-4223-49b0-a324-33d417544910,P00250,0.9,0.77,B+
2ce334ff-e7c0-4dc0-acf9-4c04be905096,P00251,0.87,0.76,C
70d4baf3-2f79-4ddc-b985-04a5d2024f14,P00252,0.9,0.86,C
f3199431-88fb-4451-bc58-325f2baab545,P00253,0.75,0.95,C
151330c3-7476-4ff2-8d27-2e68086c9130,P00254,0.75,0.93,A
589f5e63-b4f7-4b58-b9df-e3f46848ca59,P00255,0.74,0.71,C
6f5bfcfc-bdeb-47e9-bf42-04067e3510bc,P00256,0.92,0.76,B
0279e3e7-e988-4afd-92fb-021d2702740d,P00257,0.92,0.72,B+
c8e167aa-9372-4d9c-9a63-665789c75a63,P00258,0.84,0.73,A+
71f2a5ee-6387-4f79-8d44-4ec44c9e6b8d,P00259,0.85,0.7,B+
af2b198a-022c-4bb3-957d-71fb357edc70,P00260,0.93,0.86,B
3b98798f-2305-42bd-9f2a-b2b1398e2b0a,P00261,0.92,0.91,B
c986d121-6b9f-467f-a0df-b3624229269c,P00262,0.92,0.76,A
3bf9316f-dd55-4dbd-b954-bb1870fd7a03,P00263,0.77,0.81,B
0ed31e13-53d0-4871-87d9-999fce939693,P00264,0.76,0.86,A
3f4185a0-98e8-4393-b2a8-c412736817c9,P00265,0.82,0.71,B+
56d6576e-0d2a-4d2c-9254-d08fdb4bef93,P00266,0.81,0.94,A+
ad53742e-f4ca-4f8f-8d4f-2466b778c79e,P00267,0.76,0.81,B+
19c3578b-8d0a-418d-9a80-5c195d3d8488,P00268,0.8,0.72,A
cc247dc4-f394-4d61-8f65-87fe41d19c9f,P00269,0.73,0.78,B+
fb37fc92-d8cd-40a1-b974-fda71d774651,P00270,0.89,0.85,C
e843a697-844f-4a3a-8f9e-0afce9f93178,P00271,0.9,0.73,A
044e2bf1-3567-4418-8b31-c9969c2c0868,P00272,0.91,0.74,B
64ea96f0-8614-4d18-aba4-9e35e6374a67,P00273,0.92,0.93,C
5b649c84-3511-4741-9187-a3f491a8b3f5,P00274,0.84,0.82,C
f0ccfa4f-2ce9-4a2f-94eb-d388d01692a2,P00275,0.88,0.74,C
2056649f-20bb-49fe-a55f-1f569facf799,P00276,0.9,0.8,C
5c88ed22-da59-4e89-90fa-2e4bb1007036,P00277,0.93,0.72,B
47ab0ad9-889d-44c7-acfc-2c43854a3f80,P00278,0.84,0.92,A
d00a0d2f-b41d-495e-bda8-2a30d69ff135,P00279,0.76,0.78,B+
6b9b8863-45d8-4e82-a27d-48f27532cbb6,P00280,0.81,0.87,C
45f67842-b518-4129-9f90-4aef98691643,P00281,0.84,0.92,A
bb6df91f-78d8-4cf4-9b19-c4bee919a168,P00282,0.75,0.75,A+
4b86453b-e1b5-4046-8e4c-ff4298626cad,P00283,0.83,0.85,B
e21a2bbb-33df-4a8d-84b2-cf7424d0fdef,P00284,0.89,0.74,C
f23c6001-08eb-4d25-9ca3-bba70e0ddb4b,P00285,0.79,0.73,C
7fee9ef0-e7c7-4f6f-b4f8-63258f54e039,P00286,0.8,0.76,B+
cb1e1917-106c-40ca-a681-481dab671213,P00287,0.79,0.77,B
5e68214d-fe3f-4302-be5f-a994fbbe2b38,P00288,0.87,0.77,A+
67e1ef4e-8911-4bef-b6dd-fbae85996e46,P00289,0.92,0.73,A
ba30d835-e22e-429e-ab79-e20570138331,P00290,0.85,0.74,A+
fefbf26c-69d3-4cef-aa12-7152ab3251e0,P00291,0.75,0.75,A+
a04da7c6-565d-4243-be40-16763f0417af,P00292,0.8,0.86,C
43e26d79-2350-430c-8a0f-c0681b7e2fcd,P00293,0.92,0.87,A+
881a01b0-dca4-4041-ad97-fd3f6c1bbf19,P00294,0.91,0.86,B
2101e9c3-4981-47f8-b059-bdd13f656779,P00295,0.89,0.7,A
5a238882-7ec2-4f5a-a70e-69f1337cd289,P00296,0.95,0.78,A
83f00793-fe59-476f-9f97-e8cee92ce977,P00297,0.94,0.76,C
cd101aec-d744-4fe5-a740-71ff91ac45b0,P00298,0.9,0.84,B
0d390117-a25a-4cc4-8711-3355094d80cf,P00299,0.91,0.8,B
9b76f619-745e-497c-b1f9-10acd2ca2a1e,P00300,0.73,0.75,A
5b1b8279-efcc-4893-85c6-4494c54b9041,P00301,0.75,0.78,B+
a8f30846-59d0-4faf-baa5-09b0391d4340,P00302,0.78,0.85,A
870ce699-0d9c-45ee-9862-79eba0c40307,P00303,0.84,0.7,A
efbb299a-6224-407d-8d45-e8b51556a4b4,P00304,0.79,0.87,A
758f71ee-515f-46ba-b159-8e4d35ad730e,P00305,0.72,0.85,B+
404b858d-1704-47d9-9570-ea7c595c631c,P00306,0.88,0.85,C
683d446c-473c-4541-a698-ee1812c8591f,P00307,0.83,0.9,B
9f3ef070-1675-491f-871b-4d72b9058114,P00308,0.87,0.77,B
d051737e-8cf4-4885-8093-5415b0acab31,P00309,0.94,0.92,B
1e3a036e-ddf0-4032-b07e-c592ff9af7db,P00310,0.77,0.71,A
cb6b27e1-51f1-4dc9-8e77-3ab945004be0,P00311,0.85,0.95,A
66af7cd3-d236-4df9-84e6-3807b31557a6,P00312,0.89,0.9,A+
24b46ce9-085c-4d9a-b4b3-0e537489c2b7,P00313,0.72,0.91,B
a8005623-4f02-4f73-bea2-ec9a4da37da9,P00314,0.85,0.83,A+
73637b58-ddca-42e3-9aaf-6526f3fdd2f3,P00315,0.94,0.9,B
15d2eac9-8705-428a-b47e-68b0b2fe2c39,P00316,0.82,0.75,A
575497f0-ccb5-42b8-90d0-2acf8ab35ba3,P00317,0.74,0.79,A+
dc456a47-34b5-4ccf-869e-1b03a2af60f5,P00318,0.93,0.92,C
e49a40f1-fb12-4954-b153-62915549a63b,P00319,0.91,0.74,B+
d0b6cd3f-138e-49de-ab39-ab5e02775218,P00320,0.76,0.86,C
a180bbc6-5840-41a1-868e-7ecbb2eb9956,P00321,0.77,0.88,B
4faa0bce-812d-48cb-903f-943096889733,P00322,0.81,0.94,B
ecb803cb-cbb9-4896-bdaa-05270f78d855,P00323,0.82,0.82,B
c39ee0cc-d468-45d6-b737-3dcae8ef230a,P00324,0.79,0.93,B
ebd7be58-8ef1-4464-bc72-0781b997f9f3,P00325,0.9,0.89,B+
4a17b7c8-21a2-465f-b2d1-4f5facf74876,P00326,0.83,0.95,B+
0a7595bb-d375-4e0c-95d6-3f4379a6a785,P00327,0.82,0.91,A+
33826814-19a9-43fe-9674-86d099bafa91,P00328,0.71,0.89,A+
1ba04e69-a597-40e1-a0f1-babf2d56398e,P00329,0.94,0.92,A
08ecd74b-7f0e-4dce-a35b-27a76b8953fe,P00330,0.84,0.7,A+
c8409b69-7442-4862-9fa9-4fec579c137e,P00331,0.94,0.76,B+
4b4b3b15-7b2c-4ee7-9e2d-3a6d6e21713b,P00332,0.82,0.73,A+
806fddaf-4e03-4778-a2b2-f3dcf13542eb,P00333,0.8,0.73,B
8c05b691-923f-406a-bb9c-a0e83eee3472,P00334,0.84,0.89,A
55b3f33d-fe35-4581-a73f-5af7dce9ae9e,P00335,0.89,0.87,C
5ae7ca13-dd39-4382-9714-63316d95c4f1,P00336,0.85,0.78,B+
be3757ca-77f8-4dec-84a3-94224bd051ef,P00337,0.78,0.95,C
