Project ID,Name,Sector,Location,Status,Budget (USD)
P00062,Project_ZI5R7X,Sustainable Agriculture,"Cape Town, South Africa",Completed,3732241
P00063,Project_87W9G2,Sustainable Agriculture,"Scotland, UK",Ongoing,7328707
P00064,Project_ZGEYRU,Water Management,"Cape Town, South Africa",Proposed,5600952
P00065,Project_MHGNHV,Water Management,"Scotland, UK",Proposed,5469695
P00066,Project_3GO4A3,Sustainable Agriculture,"Delhi, India",Ongoing,6382121
P00067,Project_1ZN4U7,Renewable Energy,"California, US",Completed,6608427
P00068,Project_QF7R1X,Sustainable Agriculture,"California, US",Completed,7817452
P00069,Project_40H59Z,Renewable Energy,"Delhi, India",Ongoing,5831128
P00070,Project_7HYDFC,Sustainable Agriculture,"California, US",Ongoing,3159382
P00071,Project_8FHNSW,Sustainable Agriculture,"California, US",Proposed,1108304
P00072,Project_L8ADUY,Water Management,"California, US",Completed,4748600
P00073,Project_DY2N1W,Urban Development,"Tokyo, Japan",Proposed,5289059
P00074,Project_FYGDJ2,Water Management,"Cape Town, South Africa",Proposed,8549720
P00075,Project_3PHY9D,Urban Development,"Tokyo, Japan",Completed,4036717
P00076,Project_A11ZD1,Water Management,"Cape Town, South Africa",Proposed,4595416
P00077,Project_YXYPCW,Sustainable Agriculture,"Tokyo, Japan",Proposed,7909163
P00078,Project_32AJ0F,Renewable Energy,"Scotland, UK",Completed,9184610
P00079,Project_2ON55R,Water Management,"Delhi, India",Ongoing,3142550
P00080,Project_XOTY8I,Water Management,"Tokyo, Japan",Completed,7375766
P00081,Project_O421IK,Renewable Energy,"California, US",Completed,3665174
P00082,Project_I7HF5Q,Renewable Energy,"California, US",Completed,7121392
P00083,Project_GGJ5HJ,Water Management,"Tokyo, Japan",Proposed,1157915
P00084,Project_UBXTRP,Urban Development,"Cape Town, South Africa",Proposed,5771947
P00085,Project_5GKB62,Water Management,"Scotland, UK",Completed,4693552
P00086,Project_8L7VGS,Renewable Energy,"Scotland, UK",Proposed,7698095
P00087,Project_V0HEPE,Water Management,"California, US",Completed,1585524
P00088,Project_DFIB0F,Urban Development,"Tokyo, Japan",Ongoing,6376600
P00089,Project_5QLUVK,Water Management,"Scotland, UK",Ongoing,6699795
P00090,Project_ACTXR3,Urban Development,"Scotland, UK",Completed,5531273
P00091,Project_B7EEB3,Renewable Energy,"California, US",Proposed,2122712
P00092,Project_BPAYD7,Sustainable Agriculture,"Scotland, UK",Ongoing,1834756
P00093,Project_98BUZN,Renewable Energy,"Delhi, India",Completed,6385769
P00094,Project_AR0Q3F,Water Management,"Scotland, UK",Proposed,9996888
P00095,Project_ZDLGUX,Urban Development,"Tokyo, Japan",Ongoing,3748026
P00096,Project_GGCDZM,Sustainable Agriculture,"Cape Town, South Africa",Proposed,7619588
P00097,Project_EFLJXZ,Sustainable Agriculture,"California, US",Completed,5759789
P00098,Project_46KTWN,Water Management,"Cape Town, South Africa",Completed,7107019
P00099,Project_V36JVU,Urban Development,"Cape Town, South Africa",Proposed,4569054
P00100,Project_59P3H9,Sustainable Agriculture,"Delhi, India",Ongoing,6898411
P00101,Project_QOVM41,Water Management,"Scotland, UK",Proposed,4152915
P00102,Project_M7UYNP,Renewable Energy,"Tokyo, Japan",Ongoing,1775287
P00103,Project_C21PHH,Renewable Energy,"Scotland, UK",Completed,6910967
P00104,Project_EX3IJG,Urban Development,"California, US",Ongoing,2116056
P00105,Project_164NXL,Water Management,"Tokyo, Japan",Completed,2880589
P00106,Project_VM1LB1,Renewable Energy,"Tokyo, Japan",Proposed,1392283
P00107,Project_C5FGVH,Renewable Energy,"California, US",Ongoing,9875654
P00108,Project_KAPUZE,Renewable Energy,"Scotland, UK",Ongoing,2696804
P00109,Project_8YGQPZ,Sustainable Agriculture,"Tokyo, Japan",Ongoing,8169638
P00110,Project_UZ0K5W,Water Management,"Delhi, India",Ongoing,3571835
P00111,Project_Y1NEHU,Urban Development,"Cape Town, South Africa",Ongoing,9017492
P00112,Project_PFN5NA,Sustainable Agriculture,"California, US",Completed,8531987
P00113,Project_1BNBEF,Sustainable Agriculture,"California, US",Proposed,5409507
P00114,Project_FYKXMT,Renewable Energy,"California, US",Ongoing,7051843
P00115,Project_9G7DSQ,Urban Development,"Delhi, India",Proposed,1587487
P00116,Project_26N79T,Water Management,"Tokyo, Japan",Proposed,7757429
P00117,Project_JSS1P6,Urban Development,"Scotland, UK",Completed,7809878
P00118,Project_K9BE4Q,Renewable Energy,"Cape Town, South Africa",Completed,9899607
P00119,Project_VMTD6W,Renewable Energy,"Delhi, India",Proposed,5300777
P00120,Project_4LHJHZ,Sustainable Agriculture,"Cape Town, South Africa",Proposed,7221257
P00121,Project_PBYOUS,Renewable Energy,"Tokyo, Japan",Ongoing,5094879
P00122,Project_H4BMWE,Sustainable Agriculture,"Scotland, UK",Proposed,3610828
P00123,Project_UDQ81C,Sustainable Agriculture,"Cape Town, South Africa",Proposed,2928311
P00124,Project_BD4IMO,Water Management,"Scotland, UK",Proposed,3281813
P00125,Project_9LH8BB,Sustainable Agriculture,"Delhi, India",Completed,2464076
P00126,Project_H8YBPB,Renewable Energy,"Cape Town, South Africa",Completed,9299716
P00127,Project_7JI26Y,Urban Development,"Cape Town, South Africa",Completed,1340839
P00128,Project_EZGRWS,Water Management,"California, US",Completed,5277736
P00129,Project_WUVE7S,Sustainable Agriculture,"Delhi, India",Ongoing,2674795
P00130,Project_2IHAH6,Water Management,"Tokyo, Japan",Proposed,2002933
P00131,Project_GG31WQ,Urban Development,"California, US",Completed,6257515
P00132,Project_87EWHN,Urban Development,"California, US",Proposed,1593871
P00133,Project_7U8D7I,Urban Development,"Tokyo, Japan",Proposed,2973203
P00134,Project_URNMP9,Water Management,"Cape Town, South Africa",Completed,6863930
P00135,Project_FQ6F72,Urban Development,"California, US",Completed,2932267
P00136,Project_CUME31,Sustainable Agriculture,"California, US",Completed,9952152
P00137,Project_UAAGF5,Water Management,"California, US",Ongoing,2568527
P00138,Project_188HI6,Sustainable Agriculture,"Tokyo, Japan",Proposed,4219828
P00139,Project_6AVKVY,Sustainable Agriculture,"California, US",Ongoing,8407365
P00140,Project_DYINMG,Sustainable Agriculture,"Scotland, UK",Proposed,8784643
P00141,Project_5PEN5X,Urban Development,"Tokyo, Japan",Proposed,1116438
P00142,Project_XFHO96,Sustainable Agriculture,"Cape Town, South Africa",Completed,3287494
P00143,Project_58WEMR,Urban Development,"Delhi, India",Ongoing,3801948
P00144,Project_M1SGFF,Renewable Energy,"Cape Town, South Africa",Completed,8819641
P00145,Project_5851K7,Urban Development,"Cape Town, South Africa",Ongoing,7979047
P00146,Project_8G2DCT,Urban Development,"California, US",Completed,6651310
P00147,Project_DLKZMA,Renewable Energy,"Cape Town, South Africa",Ongoing,6143190
P00148,Project_31SWJ3,Sustainable Agriculture,"California, US",Ongoing,8005123
P00149,Project_67B9DT,Urban Development,"Cape Town, South Africa",Proposed,4941869
P00150,Project_9HOXPX,Sustainable Agriculture,"Cape Town, South Africa",Completed,9591482
P00151,Project_6FQYPR,Sustainable Agriculture,"Delhi, India",Ongoing,4643549
P00152,Project_F4LNPQ,Water Management,"Cape Town, South Africa",Proposed,2666114
P00153,Project_6DZO0O,Water Management,"California, US",Proposed,8806456
P00154,Project_RQQ4S2,Renewable Energy,"California, US",Proposed,3956909
P00155,Project_HU9NM9,Water Management,"Scotland, UK",Completed,9819204
P00156,Project_L1L5E3,Water Management,"Cape Town, South Africa",Proposed,7596974
P00157,Project_H24QMF,Sustainable Agriculture,"Delhi, India",Ongoing,5475883
P00158,Project_D7BKRV,Renewable Energy,"Tokyo, Japan",Completed,3586921
P00159,Project_N8RZ7B,Urban Development,"California, US",Completed,5166851
P00160,Project_E75HKN,Sustainable Agriculture,"Scotland, UK",Ongoing,3305403
P00161,Project_3F0ANG,Renewable Energy,"Tokyo, Japan",Completed,7389316
P00162,Project_326EQ4,Renewable Energy,"Scotland, UK",Completed,5179238
P00163,Project_W92KBK,Water Management,"Scotland, UK",Completed,7939006
P00164,Project_29NHQ5,Renewable Energy,"Delhi, India",Proposed,2446394
P00165,Project_XJDO83,Urban Development,"California, US",Proposed,8005293
P00166,Project_R6UTM3,Sustainable Agriculture,"Cape Town, South Africa",Ongoing,3926313
P00167,Project_WL1070,Sustainable Agriculture,"Delhi, India",Ongoing,6219912
P00168,Project_0RGS31,Water Management,"Scotland, UK",Completed,2327954
P00169,Project_4HW96S,Sustainable Agriculture,"California, US",Ongoing,7076455
P00170,Project_0SOKX7,Sustainable Agriculture,"Delhi, India",Completed,7497626
P00171,Project_50E40Z,Sustainable Agriculture,"California, US",Completed,2994795
P00172,Project_6Z1S1L,Sustainable Agriculture,"Scotland, UK",Completed,4619172
P00173,Project_X2YCP7,Water Management,"Tokyo, Japan",Proposed,6972236
P00174,Project_WNZHYG,Sustainable Agriculture,"Cape Town, South Africa",Proposed,3293212
P00175,Project_MJ4A3H,Sustainable Agriculture,"Delhi, India",Ongoing,4937683
P00176,Project_1T9IGQ,Renewable Energy,"Delhi, India",Ongoing,6308150
P00177,Project_RACB0W,Urban Development,"California, US",Proposed,9128571
P00178,Project_4BEWCG,Water Management,"Tokyo, Japan",Proposed,1901516
P00179,Project_RNOI6G,Urban Development,"California, US",Ongoing,5217786
P00180,Project_LU182V,Urban Development,"Cape Town, South Africa",Proposed,5072260
P00181,Project_A09P0V,Renewable Energy,"Cape Town, South Africa",Completed,1801847
P00182,Project_QV0DXV,Sustainable Agriculture,"California, US",Proposed,2707316
P00183,Project_HNQSPK,Renewable Energy,"Cape Town, South Africa",Ongoing,2155886
P00184,Project_J3IZKJ,Renewable Energy,"California, US",Ongoing,1878390
P00185,Project_VNNIW8,Renewable Energy,"Delhi, India",Proposed,9198219
P00186,Project_9WQJSC,Water Management,"Tokyo, Japan",Ongoing,6650440
P00187,Project_136ZEW,Sustainable Agriculture,"Scotland, UK",Proposed,8247187
P00188,Project_3T3E3F,Water Management,"Delhi, India",Completed,1039827
P00189,Project_GV0M7H,Renewable Energy,"Cape Town, South Africa",Proposed,8140408
P00190,Project_GWNZCA,Sustainable Agriculture,"California, US",Completed,6797131
P00191,Project_OF1IJL,Sustainable Agriculture,"Tokyo, Japan",Completed,4144174
P00192,Project_63TPTC,Sustainable Agriculture,"Delhi, India",Ongoing,5344969
P00193,Project_15JGLE,Sustainable Agriculture,"California, US",Proposed,1444471
P00194,Project_94YW15,Sustainable Agriculture,"Delhi, India",Ongoing,9335168
P00195,Project_LZ4SA7,Sustainable Agriculture,"Delhi, India",Ongoing,3341576
P00196,Project_9R1M3B,Sustainable Agriculture,"Tokyo, Japan",Ongoing,2898101
P00197,Project_QDFXS9,Sustainable Agriculture,"Cape Town, South Africa",Proposed,3445097
P00198,Project_RDUOXM,Water Management,"California, US",Completed,3281799
P00199,Project_QI6G8C,Urban Development,"Scotland, UK",Completed,3594487
P00200,Project_E531PO,Urban Development,"Scotland, UK",Ongoing,1868902
P00201,Project_E26BJI,Water Management,"Delhi, India",Proposed,6466613
P00202,Project_GUCJIF,Renewable Energy,"California, US",Proposed,2370455
P00203,Project_EKNEUC,Urban Development,"California, US",Completed,9350855
P00204,Project_ZKH3WM,Urban Development,"Tokyo, Japan",Proposed,3372891
P00205,Project_RYQ057,Sustainable Agriculture,"Scotland, UK",Ongoing,2873393
P00206,Project_WUTB0B,Water Management,"Cape Town, South Africa",Completed,1999874
P00207,Project_4W11JG,Urban Development,"Tokyo, Japan",Completed,1653358
P00208,Project_VEUF4G,Sustainable Agriculture,"California, US",Completed,7090299
P00209,Project_YUN1RG,Renewable Energy,"Scotland, UK",Ongoing,7124560
P00210,Project_PGYFIX,Urban Development,"Tokyo, Japan",Completed,6039021
P00211,Project_35D5Q0,Renewable Energy,"Scotland, UK",Proposed,7193379
P00212,Project_8WJYB0,Water Management,"Delhi, India",Ongoing,9541361
P00213,Project_XRQGVT,Renewable Energy,"Delhi, India",Completed,5191061
P00214,Project_NVO4BR,Renewable Energy,"Cape Town, South Africa",Proposed,2801269
P00215,Project_LIFCBJ,Urban Development,"Tokyo, Japan",Ongoing,6758212
P00216,Project_BUGTTE,Water Management,"California, US",Completed,2905616
P00217,Project_ECUX6F,Urban Development,"Tokyo, Japan",Proposed,7383839
P00218,Project_PN9BWN,Urban Development,"Scotland, UK",Completed,9102494
P00219,Project_T46WQH,Sustainable Agriculture,"Scotland, UK",Proposed,4401436
P00220,Project_R1YX7K,Sustainable Agriculture,"Delhi, India",Proposed,4289723
P00221,Project_M5S5WY,Sustainable Agriculture,"California, US",Completed,7257838
P00222,Project_78RKZL,Water Management,"Cape Town, South Africa",Proposed,6378486
P00223,Project_YD2VIS,Urban Development,"Scotland, UK",Proposed,6620413
P00224,Project_VYLQCW,Urban Development,"Cape Town, South Africa",Completed,4837210
P00225,Project_ZGTPNQ,Renewable Energy,"California, US",Ongoing,6504655
P00226,Project_MRIKGR,Water Management,"Cape Town, South Africa",Completed,8177865
P00227,Project_ECC2HX,Sustainable Agriculture,"California, US",Completed,9150464
P00228,Project_M16JNK,Water Management,"Delhi, India",Ongoing,1175842
P00229,Project_T6Z6SJ,Water Management,"Cape Town, South Africa",Ongoing,5067054
P00230,Project_P1SBXB,Water Management,"Delhi, India",Completed,4526913
P00231,Project_AHWCPA,Renewable Energy,"Scotland, UK",Ongoing,8946145
P00232,Project_MVJ5FI,Renewable Energy,"Delhi, India",Proposed,4584308
P00233,Project_0K9Y17,Renewable Energy,"Tokyo, Japan",Completed,3271315
P00234,Project_FZIFE6,Water Management,"Cape Town, South Africa",Completed,8616576
P00235,Project_STH9A7,Sustainable Agriculture,"Delhi, India",Ongoing,5927834
P00236,Project_9IZE2V,Water Management,"Tokyo, Japan",Proposed,3386976
P00237,Project_ZE2M8F,Water Management,"California, US",Completed,7844831
P00238,Project_Y7QMUU,Urban Development,"Scotland, UK",Proposed,7198116
P00239,Project_CSXR7U,Urban Development,"California, US",Completed,1138884
P00240,Project_YG7CWC,Renewable Energy,"Tokyo, Japan",Ongoing,8039365
P00241,Project_AXVAND,Sustainable Agriculture,"Delhi, India",Completed,4578917
P00242,Project_UFLVGT,Sustainable Agriculture,"California, US",Ongoing,6542979
P00243,Project_TIDTWR,Water Management,"Scotland, UK",Completed,3923136
P00244,Project_RYAQKS,Urban Development,"Tokyo, Japan",Proposed,9114596
P00245,Project_W76JX9,Water Management,"California, US",Completed,2973236
P00246,Project_H95A7V,Water Management,"Scotland, UK",Completed,4649489
P00247,Project_FHPYRD,Urban Development,"Delhi, India",Proposed,1849705
P00248,Project_6OQG2N,Water Management,"Scotland, UK",Proposed,9906792
P00249,Project_IBQ6Y9,Urban Development,"Scotland, UK",Ongoing,3750490
P00250,Project_CH08I7,Water Management,"Tokyo, Japan",Proposed,1453998
P00251,Project_YJ2HA8,Sustainable Agriculture,"Tokyo, Japan",Proposed,9853246
P00252,Project_P7XPQZ,Renewable Energy,"Delhi, India",Completed,3753155
P00253,Project_RWY145,Water Management,"California, US",Proposed,3494996
P00254,Project_009K7P,Urban Development,"California, US",Ongoing,4863403
P00255,Project_3FFO6R,Sustainable Agriculture,"Cape Town, South Africa",Completed,3292183
P00256,Project_9MRCF3,Water Management,"Delhi, India",Completed,7671969
P00257,Project_VNC7PJ,Renewable Energy,"Delhi, India",Ongoing,8491629
P00258,Project_ZJ6SF7,Water Management,"Tokyo, Japan",Ongoing,7223953
P00259,Project_UPHRAV,Water Management,"California, US",Proposed,4279319
P00260,Project_8VO15S,Sustainable Agriculture,"California, US",Proposed,8542173
P00261,Project_50CPRC,Urban Development,"Scotland, UK",Proposed,3294465
P00262,Project_JOTFA6,Urban Development,"Delhi, India",Completed,5770694
P00263,Project_2WLONF,Urban Development,"Scotland, UK",Completed,1777329
P00264,Project_25YG0U,Sustainable Agriculture,"Delhi, India",Ongoing,9309969
P00265,Project_RLKUS5,Sustainable Agriculture,"Tokyo, Japan",Completed,2823884
P00266,Project_EY7AQP,Renewable Energy,"Tokyo, Japan",Completed,6768528
P00267,Project_JON15R,Urban Development,"Scotland, UK",Proposed,9943834
P00268,Project_B58D58,Water Management,"Delhi, India",Proposed,3889657
P00269,Project_EK4QGP,Sustainable Agriculture,"Cape Town, South Africa",Completed,8827433
P00270,Project_2X1V2P,Urban Development,"Scotland, UK",Proposed,2136018
P00271,Project_7MS7LA,Sustainable Agriculture,"California, US",Proposed,5885289
P00272,Project_3SA92A,Urban Development,"California, US",Ongoing,8806803
P00273,Project_LG273F,Urban Development,"Tokyo, Japan",Ongoing,1685748
P00274,Project_ZMW8DO,Water Management,"Tokyo, Japan",Completed,6599020
P00275,Project_G8KY23,Urban Development,"Scotland, UK",Ongoing,8849870
P00276,Project_ZB4USU,Urban Development,"Delhi, India",Completed,9645536
P00277,Project_RNJ108,Urban Development,"Cape Town, South Africa",Completed,7767390
P00278,Project_BY5HRS,Sustainable Agriculture,"Tokyo, Japan",Ongoing,3398196
P00279,Project_YKC57R,Water Management,"Delhi, India",Completed,3379544
P00280,Project_AFSROR,Water Management,"Cape Town, South Africa",Proposed,1171124
P00281,Project_LUV3WZ,Renewable Energy,"Tokyo, Japan",Proposed,3500089
P00282,Project_X4K899,Renewable Energy,"Tokyo, Japan",Completed,7580884
P00283,Project_3QNUFP,Renewable Energy,"Tokyo, Japan",Completed,3512886
P00284,Project_XZQBEN,Water Management,"Scotland, UK",Proposed,1574886
P00285,Project_5CJHKW,Urban Development,"Cape Town, South Africa",Ongoing,8460338
P00286,Project_FLJCDK,Renewable Energy,"Tokyo, Japan",Proposed,1810186
P00287,Project_B54LN5,Renewable Energy,"California, US",Ongoing,9060306
P00288,Project_R98EBH,Urban Development,"Tokyo, Japan",Ongoing,8723682
P00289,Project_AJ3KRE,Sustainable Agriculture,"Tokyo, Japan",Proposed,1519180
P00290,Project_6U9HEU,Water Management,"Delhi, India",Proposed,9950637
P00291,Project_G4BTIY,Water Management,"Delhi, India",Completed,4865656
P00292,Project_UKKQVU,Renewable Energy,"California, US",Proposed,9227241
P00293,Project_KRVM0A,Water Management,"Cape Town, South Africa",Proposed,6471824
P00294,Project_JGWHPP,Urban Development,"Cape Town, South Africa",Ongoing,2688741
P00295,Project_6J8QK1,Urban Development,"Tokyo, Japan",Proposed,9435789
P00296,Project_PTQR9C,Urban Development,"Scotland, UK",Ongoing,5085419
P00297,Project_S45KXF,Urban Development,"Cape Town, South Africa",Ongoing,2071472
P00298,Project_P2Q22D,Sustainable Agriculture,"Tokyo, Japan",Completed,2176144
P00299,Project_62K38S,Water Management,"Tokyo, Japan",Proposed,4931766
P00300,Project_1VX428,Renewable Energy,"Tokyo, Japan",Completed,7290850
P00301,Project_HVQVLE,Renewable Energy,"Cape Town, South Africa",Proposed,2004741
P00302,Project_ZLLGSW,Urban Development,"Cape Town, South Africa",Ongoing,8962576
P00303,Project_I2USXA,Sustainable Agriculture,"Cape Town, South Africa",Completed,8726215
P00304,Project_7TK8DO,Renewable Energy,"California, US",Proposed,4086416
P00305,Project_UFS0W6,Urban Development,"Scotland, UK",Proposed,7736952
P00306,Project_7D1HS1,Water Management,"Cape Town, South Africa",Ongoing,8695384
P00307,Project_GNB9ZP,Water Management,"Delhi, India",Completed,7638064
P00308,Project_QG0F8G,Water Management,"Delhi, India",Ongoing,7210727
P00309,Project_G1QD6P,Urban Development,"Cape Town, South Africa",Proposed,6539317
P00310,Project_DHW9QK,Sustainable Agriculture,"Tokyo, Japan",Proposed,4679591
P00311,Project_P12K3Q,Sustainable Agriculture,"Tokyo, Japan",Completed,8579686
P00312,Project_ZBD5RC,Sustainable Agriculture,"Tokyo, Japan",Completed,1463192
P00313,Project_RFV4L6,Urban Development,"Delhi, India",Completed,7222595
P00314,Project_S9MP7R,Renewable Energy,"Scotland, UK",Completed,7607670
P00315,Project_D5KYF7,Urban Development,"Tokyo, Japan",Proposed,5276659
P00316,Project_MAYDVG,Urban Development,"Scotland, UK",Proposed,7034695
P00317,Project_ABFUJ8,Water Management,"California, US",Proposed,7182588
P00318,Project_VT4WHP,Sustainable Agriculture,"Delhi, India",Proposed,1349614
P00319,Project_I040YC,Sustainable Agriculture,"California, US",Ongoing,7356004
P00320,Project_18BKWA,Water Management,"Cape Town, South Africa",Proposed,2050142
P00321,Project_RCWWC5,Water Management,"Tokyo, Japan",Ongoing,1453950
P00322,Project_38I2ZO,Sustainable Agriculture,"Scotland, UK",Completed,2441999
P00323,Project_2RC6MS,Renewable Energy,"California, US",Completed,6517304
P00324,Project_CK1P9K,Renewable Energy,"Tokyo, Japan",Completed,5211630
P00325,Project_0GZGUR,Sustainable Agriculture,"Delhi, India",Completed,4662445
P00326,Project_JRXX5Z,Sustainable Agriculture,"Scotland, UK",Proposed,3541365
P00327,Project_IDR0U7,Sustainable Agriculture,"Delhi, India",Proposed,6202619
P00328,Project_3871K4,Sustainable Agriculture,"Cape Town, South Africa",Completed,4146899
P00329,Project_1GBQCF,Urban Development,"California, US",Proposed,4163785
P00330,Project_79G7MJ,Water Management,"Cape Town, South Africa",Proposed,7924643
P00331,Project_MV5Q9J,Water Management,"Scotland, UK",Proposed,5117186
P00332,Project_AC3IM0,Sustainable Agriculture,"California, US",Proposed,2694354
P00333,Project_T2LBQO,Water Management,"Scotland, UK",Ongoing,7410509
P00334,Project_W3Y2AG,Water Management,"Tokyo, Japan",Ongoing,9018819
P00335,Project_YJ0KXP,Urban Development,"Scotland, UK",Completed,4987129
P00336,Project_FP7GCG,Water Management,"Delhi, India",Ongoing,5798246
P00337,Project_LS5Z92,Sustainable Agriculture,"Scotland, UK",Ongoing,9760899
P00338,Project_5JR2NL,Sustainable Agriculture,"California, US",Ongoing,1754387
P00339,Project_S8WXIR,Sustainable Agriculture,"Scotland, UK",Ongoing,4990266
P00340,Project_FL8TPS,Urban Development,"Cape Town, South Africa",Completed,7907027
P00341,Project_H5HTLS,Urban Development,"California, US",Completed,1769159
P00342,Project_NLNHVS,Urban Development,"Cape Town, South Africa",Completed,5190458
P00343,Project_6NF21P,Sustainable Agriculture,"Scotland, UK",Completed,1426379
P00344,Project_THHKMX,Urban Development,"Tokyo, Japan",Ongoing,9683582
P00345,Project_2J6CA6,Water Management,"Tokyo, Japan",Completed,6962617
P00346,Project_02M7RA,Sustainable Agriculture,"Cape Town, South Africa",Completed,4870635
P00347,Project_45S9OM,Renewable Energy,"California, US",Completed,7412091
P00348,Project_9GGCWR,Water Management,"Scotland, UK",Proposed,7066544
P00349,Project_DPU6GB,Urban Development,"Tokyo, Japan",Completed,9562537
P00350,Project_3FNI83,Water Management,"California, US",Proposed,4177216
P00351,Project_2MP3GY,Sustainable Agriculture,"California, US",Ongoing,2750489
P00352,Project_X60VSF,Renewable Energy,"Cape Town, South Africa",Completed,3123755
P00353,Project_31WFF2,Urban Development,"Tokyo, Japan",Ongoing,2119543
P00354,Project_7PT44F,Sustainable Agriculture,"Scotland, UK",Completed,1302236
P00355,Project_16AJWY,Water Management,"Scotland, UK",Ongoing,7837424
